Target_genes	Zfp57|Average	SRX10265156|ES_cells	SRX10265157|ES_cells	SRX1421936|ES_cells	SRX1421939|ES_cells	SRX14394947|ES_cells	SRX14394948|ES_cells	SRX14394949|ES_cells	SRX14394950|ES_cells	SRX1556082|ES_cells	SRX1556086|ES_cells	SRX1556090|ES_cells	SRX476210|ES_cells	SRX476211|ES_cells	SRX5140866|ES_cells	SRX5140867|ES_cells	SRX5140868|ES_cells	SRX5140869|ES_cells	SRX5140870|ES_cells	STRING
Tbc1d25	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Taf15	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Styx	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Spx	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Sprr1b	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Spopl	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Spats2l	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Smok3b	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Slc44a2	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Slc37a2	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Slc2a2	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Slc25a2	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Slc24a5	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Sh2d4b	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Sgo2b	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Sema3a	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Sem1	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Scamp2	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Saxo1	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Rpl37a	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Rpl27	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Rnf13	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Riok3	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Rida	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Rhbdd1	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Rfxank	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Rfwd3	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Rbm10	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Rab33a	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Ptgfr	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Prss39	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Prpmp5	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Prdx3	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Ppp6c	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Ppp1r9a	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Ppp1r18	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Pop1	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Pnpla8	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Pla2g4e	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Pcdhga6	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Pcdh20	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Pax3	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Paqr3	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Pabpn1	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Pabpc1l2b	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
P4ha1	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Olfr768	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Olfr1392	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Nrm	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Nr2c2ap	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Nr0b1	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Nlrp4c	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Neu2	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Nedd1	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Ndufv3	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Ndufs1	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Ndufb11	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Ncam2	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Nat3	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Nap1l4	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Mtmr9	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Msrb2	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Mrpl20	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Mppe1	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Mpdu1	7.444444	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0
Morf4l2	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Mob3b	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Mob1a	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Mfap1b	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Mcm3	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Mcam	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Map3k13	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Mak16	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Lmbrd1	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Lemd3	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Ldb2	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Jade3	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Ing1	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Iltifb	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Il16	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Hsd17b6	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Hsd11b1	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Hs6st2	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Hpse2	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Gzma	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Gtpbp8	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Gnpda2	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Gm9112	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Gm14305	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Gm11837	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Gm10778	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Glrx2	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Ggh	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Gcfc2	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Gabra4	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Foxo4	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Fgf13	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Fancl	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Exo1	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Etnppl	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Etf1	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Eef1b2	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Ect2l	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Dusp16	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Dsel	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Drd2	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Dmrtc1b	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Dmac1	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Diaph3	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Dennd2a	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Defb3	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Czib	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Cyct	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Cxcl15	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Ctnnbip1	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Ctnnb1	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Col8a1	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Col11a2	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Coa7	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Clcn1	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Cks2	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Cdsn	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Cdh7	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Cdc73	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Cdc45	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Ccng1	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Btf3l4	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Brinp1	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Blvra	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Blmh	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Atrx	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Arhgef38	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Acr	7.444444	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0
Abraxas2	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Abca1	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
4930402F06Rik	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
2610002M06Rik	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
2210418O10Rik	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
1700030K09Rik	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
1700029J07Rik	7.444444	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
Zfp516	7.388889	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0
Trmt10a	7.388889	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0
Slc38a4	7.388889	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0
Slc19a1	7.388889	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0
Rab29	7.388889	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0
Plpp4	7.388889	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0
Oas2	7.388889	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0
Msantd3	7.388889	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0
Krt75	7.388889	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0
Kcnmb1	7.388889	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0
Junb	7.388889	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0
Inka1	7.388889	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0
Heca	7.388889	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0
Gkap1	7.388889	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0
Ets1	7.388889	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0
Col28a1	7.388889	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0
Clock	7.388889	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0
Cdh22	7.388889	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0
Cd19	7.388889	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0
Barx2	7.388889	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0
Ap4e1	7.388889	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0
Aoc3	7.388889	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0
Anxa11	7.388889	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0
Ajap1	7.388889	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0
1700017B05Rik	7.388889	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0
Zyx	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Zfp523	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Xrcc1	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Wdr82	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Wdr46	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Tmpo	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Thrsp	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Sstr2	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Snrnp40	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Scmh1	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Scd2	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Rpl37	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Rhcg	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Pradc1	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Pinlyp	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Pfdn6	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Ost4	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Nlgn3	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Myo1h	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Mtmr10	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Msi2	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Mettl21a	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Mbnl1	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Ly6g6e	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Ly6g6d	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Lfng	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Klhl12	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Kif13a	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Gatd1	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Fabp3	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Eif4g3	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Cyp4f16	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Csnk2a2	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Crot	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Cog7	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Cct7	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
C2	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Arid1a	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Arhgap26	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Adgrb1	7.333333	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Wdcp	7.277778	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0
Uaca	7.277778	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0
Trnp1	7.277778	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0
Steap2	7.277778	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0
Srebf1	7.277778	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0
Slc24a1	7.277778	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0
Slc13a5	7.277778	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0
Ppp4r2	7.277778	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0
Pip5k1c	7.277778	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0
Pick1	7.277778	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0
Myl2	7.277778	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0
Irx6	7.277778	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0
Gphn	7.277778	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0
Fnbp1	7.277778	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0
Fbxw11	7.277778	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0
Cobll1	7.277778	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0
Ccm2	7.277778	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0
Carmil1	7.277778	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0
Zmiz1	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Zfp710	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Zfp488	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Zdhhc18	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Ypel3	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Wdr78	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Vkorc1l1	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Tnfrsf10b	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Slc34a3	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Sgta	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Serpinf1	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Rnf224	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Reep2	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Qrich1	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Prrg3	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Proz	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Prkch	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Oxct1	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
N4bp2l1	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Mt1	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Mier1	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Irx5	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Ifitm2	7.222222	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0
Hoxd12	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Hexim1	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Frem3	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Foxj1	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Ephb6	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Dio1	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Ddx50	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Ddx39a	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Dazap2	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Cysrt1	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Cyp27b1	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Cyb561d1	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Crebrf	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Cbarp	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Ankdd1a	7.222222	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0
Zfp583	7.166667	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0
Trub2	7.166667	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0
Thbs1	7.166667	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0
Tedc1	7.166667	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0
Sulf2	7.166667	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0
Styxl1	7.166667	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0
Smpd4	7.166667	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0
Smim5	7.166667	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0
Rpl32	7.166667	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0
Rint1	7.166667	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0
Rab3ip	7.166667	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0
Rab25	7.166667	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0
Pus7	7.166667	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0
Ptms	7.166667	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0
Ppm1l	7.166667	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0
Piezo1	7.166667	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0
Palm3	7.166667	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0
Nr2c1	7.166667	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0
