Target_genes	Fosl1|Average	SRX142533|C2C12	SRX2396480|MEF	SRX2396481|MEF	SRX2396482|MEF	SRX6437838|Pancreatic_adenocarcinoma	STRING
Ep400	53.4	0	0	0	104	163	0
Ckap2l	53.4	0	0	0	143	124	0
Calcrl	53.4	0	0	0	0	267	0
Apobec4	53.4	0	0	0	0	267	0
Alox15	53.4	0	0	267	0	0	0
Vcp	53.2	0	0	0	124	142	0
Tlcd3a	53.2	0	0	0	266	0	0
Tff1	53.2	125	0	0	0	141	0
Stt3a	53.2	0	128	0	0	138	0
Ptn	53.2	0	266	0	0	0	0
Pank1	53.2	0	0	0	186	80	0
P4ha1	53.2	0	0	0	107	159	0
Lrrc23	53.2	0	266	0	0	0	0
Kif7	53.2	0	0	0	266	0	0
Hoxb8	53.2	0	0	0	0	266	0
Fam161b	53.2	0	0	0	266	0	0
Eif4a1	53.2	0	0	0	139	127	0
Dtwd2	53.2	0	101	0	0	165	0
Dnajc16	53.2	0	0	128	138	0	0
Coq6	53.2	0	0	0	266	0	0
Zim1	53.0	0	0	0	265	0	0
Ttc3	53.0	0	0	0	265	0	0
Pigp	53.0	0	0	0	265	0	0
Pdxk	53.0	0	0	0	265	0	0
Nxph1	53.0	0	0	0	0	265	0
Nup133	53.0	0	0	0	130	135	0
Irf2bp1	53.0	0	0	0	0	265	0
Immp1l	53.0	0	0	0	140	125	0
Elp4	53.0	0	0	0	140	125	0
Cyp27a1	53.0	0	149	0	116	0	0
Chchd5	53.0	0	86	0	0	179	0
BC048403	53.0	0	265	0	0	0	0
Arhgap45	53.0	0	0	0	0	265	0
Aqp6	53.0	0	0	0	0	265	0
Zfp866	52.8	0	0	0	264	0	0
Upf2	52.8	0	0	126	138	0	0
Gm38999	52.8	0	0	0	0	264	0
E130309D02Rik	52.8	0	0	135	129	0	0
Cks2	52.8	0	0	0	152	112	0
Cherp	52.8	0	164	0	0	100	0
Bdh2	52.8	0	0	0	0	264	0
Xlr3b	52.6	0	263	0	0	0	0
Tbl2	52.6	0	0	0	263	0	0
Sprtn	52.6	0	111	0	152	0	0
Spata33	52.6	0	148	0	115	0	0
Slc19a2	52.6	0	163	0	100	0	0
Rbm4	52.6	0	0	0	263	0	0
Pmaip1	52.6	0	0	0	93	170	0
Plpp6	52.6	0	0	0	144	119	0
Pfn3	52.6	0	138	0	0	125	0
Pbp2	52.6	0	0	0	263	0	0
Nol3	52.6	0	0	0	263	0	0
Mrps18c	52.6	0	0	0	0	263	0
Mdp1	52.6	0	125	0	0	138	0
Krt20	52.6	0	0	0	89	174	0
Kdm4d	52.6	0	0	0	0	263	0
Ifi209	52.6	0	263	0	0	0	0
Hmgb1	52.6	0	108	0	0	155	0
Helq	52.6	0	0	0	0	263	0
Galntl6	52.6	0	263	0	0	0	0
Fam193b	52.6	0	0	0	0	263	0
Exoc8	52.6	0	111	0	152	0	0
Eef1akmt2	52.6	0	77	0	186	0	0
Cwc15	52.6	0	0	0	0	263	0
Chmp1a	52.6	0	148	0	115	0	0
BC030500	52.6	0	263	0	0	0	0
Acot12	52.6	0	263	0	0	0	0
4430402I18Rik	52.6	0	0	0	144	119	0
Zscan18	52.4	0	101	0	161	0	0
Zfp956	52.4	0	0	0	262	0	0
Zfp169	52.4	0	64	0	0	198	0
Triap1	52.4	0	0	0	117	145	0
Tram2	52.4	0	0	0	177	85	0
Tnni1	52.4	0	0	136	0	126	0
Sorcs2	52.4	0	0	0	0	262	0
Phactr1	52.4	0	262	0	0	0	0
Opn1mw	52.4	0	0	0	262	0	0
Nfx1	52.4	0	0	0	106	156	0
Med7	52.4	0	93	0	88	81	0
Kbtbd6	52.4	0	101	0	161	0	0
Haus4	52.4	0	0	0	106	156	0
H2ab3	52.4	0	0	0	262	0	0
Gpr21	52.4	0	0	104	158	0	0
Golm1	52.4	0	0	0	262	0	0
Gatc	52.4	0	0	0	117	145	0
Elavl3	52.4	0	0	0	262	0	0
Atp6v1g1	52.4	0	0	0	262	0	0
Adgra3	52.4	0	174	0	88	0	0
Abat	52.4	0	101	0	161	0	0
Znrf4	52.2	0	113	0	148	0	0
Tgfb2	52.2	0	0	0	167	94	0
Sprr2b	52.2	0	0	136	125	0	0
Slc30a7	52.2	0	77	0	104	80	0
Rasl11b	52.2	0	176	0	85	0	0
Mmp10	52.2	0	0	136	125	0	0
Lama3	52.2	0	0	0	261	0	0
Krt15	52.2	0	0	100	161	0	0
Gca	52.2	0	0	0	160	101	0
Extl2	52.2	0	77	0	104	80	0
Ell3	52.2	0	261	0	0	0	0
Drg2	52.2	0	0	0	0	261	0
Cyp4v3	52.2	0	132	0	129	0	0
Crybb3	52.2	0	261	0	0	0	0
Aopep	52.2	0	125	0	0	136	0
Agxt	52.2	0	261	0	0	0	0
Zfp287	52.0	0	0	0	117	143	0
Trp73	52.0	0	0	145	115	0	0
Stard7	52.0	0	0	0	260	0	0
Smurf1	52.0	0	94	0	166	0	0
Serpinb10	52.0	0	0	126	134	0	0
Prmt9	52.0	0	86	0	0	174	0
Plcxd1	52.0	0	0	0	260	0	0
Gatm	52.0	0	0	0	0	260	0
Dolpp1	52.0	0	0	0	260	0	0
Uqcrfs1	51.8	0	117	0	142	0	0
Ube2d1	51.8	0	0	0	259	0	0
Ttc8	51.8	0	0	0	161	98	0
Tmem17	51.8	0	0	0	136	123	0
Sema4c	51.8	0	0	0	135	124	0
Pcbd1	51.8	0	0	0	152	107	0
Nol11	51.8	0	0	0	0	259	0
Mrpl28	51.8	0	0	0	108	151	0
Fbxo24	51.8	0	0	0	133	126	0
Dnajc30	51.8	0	0	0	91	168	0
Cog2	51.8	0	0	0	134	125	0
C1qtnf9	51.8	0	0	0	0	259	0
Bud23	51.8	0	0	0	91	168	0
Zfp472	51.6	0	99	0	0	159	0
Tmtc3	51.6	0	0	0	121	137	0
Tmed7	51.6	0	0	0	258	0	0
Stk10	51.6	0	258	0	0	0	0
Smarcb1	51.6	0	0	0	176	82	0
Selenoo	51.6	0	0	0	154	104	0
Rad51	51.6	0	0	0	108	150	0
Ndufb1	51.6	0	0	0	157	101	0
Mrs2	51.6	0	0	0	0	258	0
Mrpl22	51.6	0	85	0	0	173	0
Gys2	51.6	0	0	0	0	258	0
Guca1b	51.6	0	258	0	0	0	0
Gemin5	51.6	0	85	0	0	173	0
Etfrf1	51.6	0	158	0	0	100	0
Eif1a	51.6	0	0	0	258	0	0
Dnajc27	51.6	0	152	0	106	0	0
Dcxr	51.6	0	0	0	151	107	0
Cpsf2	51.6	0	0	0	157	101	0
Cep290	51.6	0	0	0	121	137	0
Casc1	51.6	0	158	0	0	100	0
Arrdc2	51.6	0	140	0	118	0	0
Adipoq	51.6	0	0	0	0	258	0
Adamts12	51.6	0	0	94	164	0	0
Abcf2	51.6	0	0	0	134	124	0
Zfp418	51.4	0	151	0	0	106	0
Wls	51.4	0	0	0	172	85	0
Ubl7	51.4	0	0	0	0	257	0
Tprgl	51.4	0	0	0	257	0	0
Suv39h1	51.4	0	0	0	0	257	0
Rttn	51.4	0	0	0	134	123	0
Rsbn1l	51.4	0	0	0	107	150	0
Rpl15	51.4	0	0	0	89	168	0
Ptgr1	51.4	0	0	0	0	257	0
Phtf1	51.4	0	0	0	136	121	0
Nkiras1	51.4	0	0	0	89	168	0
Lbh	51.4	0	0	0	110	147	0
Hsbp1	51.4	0	0	0	257	0	0
Gm6569	51.4	0	0	0	0	257	0
Gchfr	51.4	176	0	0	81	0	0
C1qtnf6	51.4	0	121	0	0	136	0
Bag6	51.4	0	0	0	160	97	0
Apom	51.4	0	0	0	160	97	0
Zfp947	51.2	0	168	0	0	88	0
Zfp94	51.2	0	134	0	0	122	0
Trappc5	51.2	0	0	0	162	94	0
Slc41a2	51.2	0	0	0	256	0	0
Nxpe5	51.2	0	0	0	0	256	0
Ncaph2	51.2	0	0	0	256	0	0
Lmf2	51.2	0	0	0	256	0	0
Igsf9b	51.2	0	256	0	0	0	0
Idnk	51.2	0	0	0	125	131	0
Hoga1	51.2	0	0	0	83	173	0
Garnl3	51.2	0	0	0	256	0	0
Fcor	51.2	0	0	0	162	94	0
Dedd	51.2	0	105	0	151	0	0
Chrnd	51.2	0	0	0	0	256	0
Cdk8	51.2	0	0	0	163	93	0
Ccdc141	51.2	0	256	0	0	0	0
Cabp2	51.2	0	0	0	0	256	0
Ap3d1	51.2	0	0	0	256	0	0
Ankrd17	51.2	0	80	0	176	0	0
Zfp54	51.0	0	0	0	108	147	0
Zfp280b	51.0	0	0	0	154	101	0
Tmem126a	51.0	0	131	0	0	124	0
Styk1	51.0	0	0	0	0	255	0
Smim12	51.0	0	0	0	76	179	0
Qrich1	51.0	0	0	0	159	96	0
Ppox	51.0	0	0	0	148	107	0
Nr0b2	51.0	0	0	0	0	255	0
Mfrp	51.0	0	255	0	0	0	0
Lmbrd2	51.0	0	0	0	118	137	0
Ino80e	51.0	0	0	0	143	112	0
Hirip3	51.0	0	0	0	143	112	0
Heatr1	51.0	0	0	0	137	118	0
Gypc	51.0	0	0	0	255	0	0
Epb41l5	51.0	0	0	0	255	0	0
Ddit4	51.0	0	0	0	123	132	0
Cep162	51.0	0	86	0	0	169	0
Atp6v1c2	51.0	0	0	164	91	0	0
Ankrd12	51.0	0	118	0	137	0	0
4930583I09Rik	51.0	138	117	0	0	0	0
Tex37	50.8	0	0	0	0	254	0
Rab3gap1	50.8	0	0	0	254	0	0
Nrxn3	50.8	0	0	0	125	129	0
Npas3	50.8	0	0	107	147	0	0
Mocs3	50.8	0	106	0	0	148	0
Hsbp1l1	50.8	0	173	0	81	0	0
Hbs1l	50.8	0	114	0	0	140	0
Fem1c	50.8	0	0	0	254	0	0
Emc4	50.8	0	0	0	154	100	0
Dpm1	50.8	0	106	0	0	148	0
Acer2	50.8	0	164	0	90	0	0
Vwa3a	50.6	0	0	0	253	0	0
Ube2c	50.6	0	0	0	253	0	0
Taar7a	50.6	0	253	0	0	0	0
Taar6	50.6	0	253	0	0	0	0
Ruvbl1	50.6	0	0	0	0	253	0
Pebp4	50.6	0	253	0	0	0	0
Olfr1344	50.6	0	253	0	0	0	0
Nol10	50.6	0	0	0	157	96	0
Mettl22	50.6	0	0	0	125	128	0
Lin28a	50.6	0	253	0	0	0	0
Il3	50.6	0	253	0	0	0	0
Hexim1	50.6	0	138	0	0	115	0
Fech	50.6	0	0	0	253	0	0
Fbxo22	50.6	0	0	0	0	253	0
Exosc9	50.6	0	172	0	0	81	0
Doc2b	50.6	0	253	0	0	0	0
Degs2	50.6	0	0	0	0	253	0
Cfap221	50.6	0	0	0	253	0	0
Bcl2l14	50.6	0	253	0	0	0	0
Armc7	50.6	0	0	0	157	96	0
Tnnt3	50.4	0	0	0	0	252	0
Slc25a22	50.4	0	0	0	95	157	0
Slc22a20	50.4	0	252	0	0	0	0
Sepsecs	50.4	0	0	0	108	144	0
Rps2	50.4	0	0	0	133	119	0
Rnf151	50.4	0	0	0	133	119	0
Ptpa	50.4	0	0	0	137	115	0
Pip4k2a	50.4	0	0	0	252	0	0
Ndufb10	50.4	0	0	0	133	119	0
Gimap3	50.4	0	0	0	0	252	0
Crat	50.4	0	0	0	137	115	0
Cep55	50.4	0	0	0	252	0	0
Atp1a2	50.4	0	0	0	0	252	0
Tmco3	50.2	0	0	0	251	0	0
Thap7	50.2	0	0	0	181	70	0
Spin1	50.2	0	0	0	251	0	0
Snrpf	50.2	0	0	0	0	251	0
Slc41a3	50.2	0	0	0	251	0	0
Rell2	50.2	0	251	0	0	0	0
Pmp2	50.2	0	0	0	251	0	0
Mpdu1	50.2	0	0	0	127	124	0
Mdga1	50.2	0	0	0	89	162	0
Lamp1	50.2	0	0	0	251	0	0
Hpcal4	50.2	0	0	83	168	0	0
Hdac3	50.2	0	251	0	0	0	0
Dcun1d2	50.2	0	0	0	251	0	0
Zfp82	50.0	0	0	0	250	0	0
Traf7	50.0	0	250	0	0	0	0
Rprd1a	50.0	0	0	0	250	0	0
Mtnr1a	50.0	0	0	0	0	250	0
Ifi27	50.0	0	159	0	91	0	0
Efhc1	50.0	0	0	0	250	0	0
Dpp7	50.0	0	0	0	250	0	0
9230019H11Rik	50.0	0	148	102	0	0	0
Zfp330	49.8	0	131	0	0	118	0
Wdsub1	49.8	0	0	0	167	82	0
Timm21	49.8	0	0	0	148	101	0
Snai2	49.8	0	0	0	249	0	0
Slc26a6	49.8	0	0	0	107	142	0
Rpl26	49.8	0	0	0	0	249	0
Rbm48	49.8	0	0	0	68	181	0
Rasa1	49.8	0	0	0	122	127	0
Pigu	49.8	0	0	0	161	88	0
Pex1	49.8	0	0	0	68	181	0
Mcu	49.8	0	0	0	249	0	0
Kcnc1	49.8	0	0	0	0	249	0
Hacl1	49.8	0	0	0	176	73	0
Fkbp1a	49.8	0	0	0	249	0	0
Fbh1	49.8	0	0	0	140	109	0
Dzip1	49.8	0	0	0	249	0	0
Crebbp	49.8	0	0	0	249	0	0
Btd	49.8	0	0	0	176	73	0
Aqr	49.8	0	0	0	0	249	0
Ankrd16	49.8	0	0	0	140	109	0
Agfg2	49.8	0	0	0	155	94	0
Trarg1	49.6	0	0	0	0	248	0
Tbc1d1	49.6	0	0	0	104	144	0
Taf7l2	49.6	0	0	0	0	248	0
Sec22a	49.6	0	117	0	131	0	0
Rlbp1	49.6	0	85	0	0	163	0
Pigh	49.6	0	0	0	0	248	0
Pdp2	49.6	0	0	0	143	105	0
Mblac1	49.6	0	0	0	159	89	0
Khsrp	49.6	0	0	0	100	148	0
Fanci	49.6	0	85	0	0	163	0
Coa4	49.6	0	0	0	94	154	0
Cnot11	49.6	0	0	0	120	128	0
Bhlha9	49.6	0	0	0	0	248	0
Tmem164	49.4	0	0	0	78	169	0
Tkt	49.4	0	0	0	247	0	0
Tk2	49.4	0	0	0	247	0	0
Tff3	49.4	0	0	0	0	247	0
Pmel	49.4	0	0	0	247	0	0
Marchf5	49.4	0	111	0	0	136	0
Mapk1	49.4	0	103	0	144	0	0
Kin	49.4	0	0	0	122	125	0
Kif20b	49.4	0	0	0	134	113	0
Hikeshi	49.4	0	0	0	78	169	0
Cklf	49.4	0	0	0	247	0	0
Cenpa	49.4	0	0	0	137	110	0
Cdk2	49.4	0	0	0	247	0	0
Atp5c1	49.4	0	0	0	122	125	0
Apol7c	49.4	0	0	247	0	0	0
Aadacl2fm1	49.4	247	0	0	0	0	0
AI661453	49.4	0	0	0	123	124	0
1700001C19Rik	49.4	0	0	0	123	124	0
Zfp788	49.2	0	0	0	134	112	0
Tomm22	49.2	0	0	0	0	246	0
Ss18l1	49.2	0	0	0	155	91	0
Sfxn4	49.2	0	0	0	152	94	0
Scn4b	49.2	0	0	0	99	147	0
Rfx2	49.2	0	0	0	0	246	0
Rasl11a	49.2	0	0	0	120	126	0
Rabl6	49.2	0	0	0	246	0	0
Psma7	49.2	0	0	0	155	91	0
Pi4k2b	49.2	0	0	0	246	0	0
Pfdn5	49.2	0	0	0	0	246	0
Nme2	49.2	0	0	0	246	0	0
Mpc2	49.2	0	140	0	0	106	0
Fem1a	49.2	0	0	0	118	128	0
Dcaf6	49.2	0	140	0	0	106	0
Zbtb49	49.0	0	0	0	112	133	0
Vps26b	49.0	0	0	0	158	87	0
Tubg2	49.0	0	113	0	0	132	0
Tma7	49.0	0	0	0	116	129	0
Tha1	49.0	0	0	0	0	245	0
Styxl1	49.0	0	0	0	113	132	0
Rep15	49.0	0	93	0	152	0	0
Pkn2	49.0	0	0	0	245	0	0
Ncln	49.0	0	107	0	0	138	0
Ncapd3	49.0	0	0	0	158	87	0
Mdh2	49.0	0	0	0	113	132	0
Lyar	49.0	0	0	0	112	133	0
Luc7l	49.0	0	0	0	103	142	0
Lig3	49.0	0	0	0	245	0	0
Klhl20	49.0	0	0	0	76	169	0
Jade2	49.0	0	0	0	162	83	0
Gpr157	49.0	0	0	0	245	0	0
Gm17455	49.0	0	245	0	0	0	0
Fut11	49.0	0	141	0	104	0	0
Dld	49.0	0	93	0	152	0	0
Ccdc51	49.0	0	0	0	116	129	0
Axdnd1	49.0	0	0	0	245	0	0
Acy1	49.0	0	0	0	245	0	0
Ugt2b34	48.8	0	0	0	0	244	0
Trmt10b	48.8	0	0	0	161	83	0
Tmem170	48.8	0	0	0	123	121	0
Serpind1	48.8	0	244	0	0	0	0
Sdc1	48.8	0	0	0	244	0	0
Rbm33	48.8	0	0	0	109	135	0
Orm1	48.8	0	135	0	109	0	0
Mmp3	48.8	0	244	0	0	0	0
Mdm4	48.8	0	0	0	104	140	0
Mamld1	48.8	0	244	0	0	0	0
Ltv1	48.8	0	101	0	0	143	0
Ift57	48.8	0	0	0	139	105	0
Ccdc172	48.8	0	244	0	0	0	0
C2cd2	48.8	0	101	0	143	0	0
Aox4	48.8	0	244	0	0	0	0
Agpat2	48.8	0	0	0	244	0	0
Zkscan7	48.6	0	117	0	0	126	0
Syn3	48.6	0	0	0	0	243	0
Ptk2	48.6	0	84	0	0	159	0
Ppp1r13b	48.6	0	0	0	243	0	0
Mfap3	48.6	0	0	0	143	100	0
Katna1	48.6	0	0	0	243	0	0
Ggact	48.6	0	0	0	243	0	0
Fam114a2	48.6	0	0	0	143	100	0
Efna4	48.6	0	0	0	243	0	0
Eci1	48.6	0	102	0	141	0	0
Dnase2a	48.6	0	0	0	243	0	0
Dnajb12	48.6	0	0	0	86	157	0
Dcps	48.6	0	134	0	109	0	0
Zfp369	48.4	0	109	0	0	133	0
Smc4	48.4	0	0	0	242	0	0
Slc25a30	48.4	0	0	0	168	74	0
Ppargc1a	48.4	0	155	0	87	0	0
Pigx	48.4	0	0	0	125	117	0
Pawr	48.4	0	0	0	105	137	0
Ift80	48.4	0	0	0	242	0	0
Gm17660	48.4	111	0	0	0	131	0
Ghdc	48.4	0	0	0	242	0	0
Cep19	48.4	0	0	0	125	117	0
Cct5	48.4	0	0	0	152	90	0
Atpsckmt	48.4	0	0	0	152	90	0
Asf1b	48.4	0	0	0	0	242	0
Aldh2	48.4	0	0	0	242	0	0
Zswim5	48.2	0	0	0	241	0	0
Znhit6	48.2	0	0	0	93	148	0
Zfp503	48.2	0	125	0	116	0	0
Sptlc1	48.2	0	0	0	241	0	0
Selenop	48.2	0	0	0	0	241	0
Prr7	48.2	0	241	0	0	0	0
Nudt7	48.2	0	0	0	241	0	0
Nap1l3	48.2	0	0	0	241	0	0
Mafa	48.2	0	0	0	0	241	0
Hbb-y	48.2	0	0	0	241	0	0
Grrp1	48.2	0	0	0	241	0	0
Gm17359	48.2	0	0	0	241	0	0
Ergic2	48.2	0	121	0	120	0	0
Dlgap5	48.2	0	0	0	241	0	0
Arl6	48.2	0	0	0	135	106	0
Aifm2	48.2	0	0	0	241	0	0
Abo	48.2	0	0	0	241	0	0
Zfp174	48.0	0	0	0	153	87	0
Yju2	48.0	0	0	0	102	138	0
Xpc	48.0	0	0	0	148	92	0
Slfn9	48.0	0	240	0	0	0	0
Prmt5	48.0	0	126	0	0	114	0
Mcat	48.0	0	240	0	0	0	0
Lsm3	48.0	0	0	0	148	92	0
Kirrel3	48.0	0	0	0	0	240	0
Gipr	48.0	0	0	115	125	0	0
Ankzf1	48.0	0	81	0	0	159	0
Abca15	48.0	0	0	0	0	240	0
AW146154	48.0	0	0	0	134	106	0
Usp18	47.8	0	0	0	120	119	0
Tbc1d4	47.8	0	0	0	239	0	0
Shprh	47.8	0	0	0	145	94	0
Sema3d	47.8	0	0	0	94	145	0
Pole3	47.8	0	0	0	0	239	0
Parn	47.8	0	0	0	114	125	0
Olfr586	47.8	0	0	0	0	239	0
Kdm4a	47.8	0	0	0	147	92	0
Gtsf1	47.8	114	125	0	0	0	0
Grifin	47.8	0	0	0	0	239	0
Gm8126	47.8	0	0	0	0	239	0
Cyria	47.8	0	239	0	0	0	0
Cyb5d1	47.8	0	0	0	0	239	0
Ccnl2	47.8	0	0	0	239	0	0
Casp9	47.8	0	0	101	138	0	0
Caprin1	47.8	0	0	0	239	0	0
Bfar	47.8	0	0	0	114	125	0
Abcc8	47.8	0	0	0	0	239	0
Thoc5	47.6	0	125	0	0	113	0
Tesmin	47.6	0	141	0	97	0	0
Tbcb	47.6	0	0	0	128	110	0
Rgl1	47.6	0	0	0	238	0	0
Rap2c	47.6	0	86	0	152	0	0
Ptges2	47.6	0	0	0	143	95	0
Polr2i	47.6	0	0	0	128	110	0
Pif1	47.6	0	0	0	238	0	0
Il17c	47.6	0	0	0	238	0	0
Ggt6	47.6	0	0	0	0	238	0
Daxx	47.6	0	0	0	140	98	0
Cog7	47.6	0	0	0	108	130	0
Cep250	47.6	0	0	0	238	0	0
Bmp8b	47.6	0	122	0	116	0	0
Arpc5	47.6	0	0	0	238	0	0
Areg	47.6	0	0	0	159	79	0
Ankrd53	47.6	0	0	0	238	0	0
2610044O15Rik8	47.6	0	117	0	0	121	0
Ush2a	47.4	0	0	237	0	0	0
Tlcd5	47.4	0	0	108	129	0	0
Slc35b2	47.4	0	124	0	0	113	0
Rmdn1	47.4	0	0	0	109	128	0
Jmjd7	47.4	0	0	0	149	88	0
Jade1	47.4	0	0	0	107	130	0
Dok5	47.4	0	142	0	95	0	0
Dapp1	47.4	0	237	0	0	0	0
Ykt6	47.2	0	112	0	124	0	0
Tubgcp3	47.2	0	84	0	152	0	0
Ticrr	47.2	0	0	0	80	156	0
Tbccd1	47.2	0	85	0	0	151	0
Slc4a3	47.2	0	0	0	236	0	0
Slc25a13	47.2	0	0	0	147	89	0
Selenot	47.2	0	93	0	0	143	0
Lamtor5	47.2	0	0	0	0	236	0
Dnajb11	47.2	0	85	0	0	151	0
Cdk10	47.2	0	0	0	236	0	0
Atp6v1fnb	47.2	0	0	0	116	120	0
Atp6v1f	47.2	0	0	0	116	120	0
Arl10	47.2	0	0	0	236	0	0
Alg9	47.2	0	0	0	135	101	0
Wdr73	47.0	0	0	0	169	66	0
Trim71	47.0	0	0	0	235	0	0
Sp3	47.0	0	0	0	123	112	0
Smad9	47.0	0	143	0	92	0	0
Slc6a20a	47.0	0	0	0	235	0	0
Rrp7a	47.0	0	0	140	0	95	0
Rnls	47.0	0	0	0	163	72	0
Rdx	47.0	0	0	0	235	0	0
Ranbp6	47.0	0	0	0	91	144	0
Pitpnm3	47.0	0	0	0	235	0	0
Paf1	47.0	0	85	0	0	150	0
Nudcd2	47.0	0	235	0	0	0	0
Nmb	47.0	0	0	0	169	66	0
Med29	47.0	0	85	0	0	150	0
Kti12	47.0	0	84	0	0	151	0
Iws1	47.0	0	79	0	156	0	0
Il6st	47.0	0	0	0	135	100	0
Hmmr	47.0	0	235	0	0	0	0
Gas2l3	47.0	0	170	0	0	65	0
Epor	47.0	0	122	0	113	0	0
E2f5	47.0	0	0	0	235	0	0
Ccdc17	47.0	0	0	0	95	140	0
Wnt2	46.8	0	234	0	0	0	0
Uts2	46.8	0	234	0	0	0	0
Sys1	46.8	0	115	0	0	119	0
Shfl	46.8	0	234	0	0	0	0
Prom2	46.8	0	234	0	0	0	0
Prok1	46.8	0	0	0	0	234	0
Pacrgl	46.8	0	234	0	0	0	0
Lypd11	46.8	0	234	0	0	0	0
Lsm5	46.8	0	0	0	134	100	0
Lratd1	46.8	0	0	0	143	91	0
Ldhc	46.8	0	234	0	0	0	0
Kbtbd8	46.8	0	71	0	0	163	0
Gm16527	46.8	0	234	0	0	0	0
Gfod2	46.8	0	0	0	234	0	0
Errfi1	46.8	0	0	0	0	234	0
Cox6b1	46.8	0	0	0	134	100	0
A630076J17Rik	46.8	0	0	0	0	234	0
4930562C15Rik	46.8	0	234	0	0	0	0
Txndc9	46.6	0	0	0	152	81	0
Trmt112	46.6	0	0	0	111	122	0
Tnr	46.6	0	0	0	0	233	0
Tigd4	46.6	0	233	0	0	0	0
Sox12	46.6	0	0	0	233	0	0
Slc25a47	46.6	0	233	0	0	0	0
Sez6	46.6	233	0	0	0	0	0
Prdx5	46.6	0	0	0	111	122	0
Pex2	46.6	0	133	0	0	100	0
Nop2	46.6	0	0	0	108	125	0
Ice2	46.6	0	71	0	0	162	0
Hsf2bp	46.6	0	233	0	0	0	0
Hes3	46.6	0	122	0	111	0	0
Eif5b	46.6	0	0	0	152	81	0
Cthrc1	46.6	0	0	0	0	233	0
Zfp738	46.4	0	101	0	0	131	0
Wdr26	46.4	0	0	0	232	0	0
Ubfd1	46.4	0	113	0	119	0	0
Snap25	46.4	0	117	0	0	115	0
Lenep	46.4	0	0	0	232	0	0
Layn	46.4	0	79	0	153	0	0
Ikbke	46.4	0	0	131	101	0	0
Ears2	46.4	0	113	0	119	0	0
Cd14	46.4	0	121	0	0	111	0
Brd3	46.4	0	0	0	232	0	0
Rabep2	46.2	0	0	0	231	0	0
Prkch	46.2	0	101	0	130	0	0
Ppp3r1	46.2	0	0	0	114	117	0
Pik3cb	46.2	0	0	0	231	0	0
Pigs	46.2	0	125	0	0	106	0
Parp6	46.2	0	0	0	231	0	0
Nf2	46.2	0	98	0	133	0	0
Nacad	46.2	0	0	0	231	0	0
Ly6e	46.2	0	0	0	135	96	0
Gas2l2	46.2	0	0	0	0	231	0
Cstf1	46.2	0	117	0	0	114	0
Aurka	46.2	0	117	0	0	114	0
Appl2	46.2	0	0	0	0	231	0
Aldoc	46.2	0	125	0	0	106	0
Zwilch	46.0	0	230	0	0	0	0
Ythdf2	46.0	0	230	0	0	0	0
Wdr12	46.0	0	0	0	130	100	0
Txndc15	46.0	0	149	0	0	81	0
Tlr3	46.0	0	0	0	86	144	0
Rpl4	46.0	0	230	0	0	0	0
Rcor1	46.0	0	117	0	0	113	0
Prr14l	46.0	0	0	0	0	230	0
Polr3f	46.0	0	0	0	126	104	0
Larp4b	46.0	0	0	0	91	139	0
Flt1	46.0	0	105	0	0	125	0
Fbxo7	46.0	0	0	0	0	230	0
Dzank1	46.0	0	0	0	126	104	0
Dynap	46.0	0	0	0	230	0	0
Dis3l	46.0	0	0	0	121	109	0
Ccdc68	46.0	0	0	0	108	122	0
Carf	46.0	0	0	0	130	100	0
Zfp592	45.8	0	229	0	0	0	0
Tbx21	45.8	0	0	89	140	0	0
Slc25a39	45.8	0	0	0	0	229	0
Rfk	45.8	0	0	0	139	90	0
Mfsd10	45.8	0	0	0	229	0	0
Itpa	45.8	0	104	0	0	125	0
H2-T23	45.8	0	0	0	0	229	0
Faap100	45.8	0	0	0	229	0	0
Ddrgk1	45.8	0	104	0	0	125	0
BC024063	45.8	0	79	0	0	150	0
Zfp157	45.6	0	0	0	151	77	0
Tspyl5	45.6	0	228	0	0	0	0
Tmed3	45.6	0	0	0	125	103	0
Stxbp4	45.6	0	141	0	0	87	0
Snx21	45.6	0	0	0	228	0	0
Rpia	45.6	0	0	0	102	126	0
Cox11	45.6	0	141	0	0	87	0
Aprt	45.6	0	91	0	137	0	0
Adh6a	45.6	0	0	0	0	228	0
Zfp768	45.4	0	0	0	227	0	0
Ybey	45.4	0	0	0	0	227	0
Vamp2	45.4	0	0	0	227	0	0
Tmx1	45.4	0	0	0	105	122	0
Syt11	45.4	0	0	0	134	93	0
Sptssa	45.4	0	0	0	227	0	0
Plppr3	45.4	0	0	0	227	0	0
Ndufaf7	45.4	0	0	0	0	227	0
N4bp2	45.4	0	0	0	141	86	0
Mcm3ap	45.4	0	0	0	0	227	0
Map11	45.4	0	0	0	0	227	0
Lztr1	45.4	0	0	0	121	106	0
Kazn	45.4	0	0	0	227	0	0
Hmgxb3	45.4	0	0	0	91	136	0
Dph2	45.4	0	0	0	113	114	0
Dcun1d5	45.4	0	79	0	0	148	0
Cfb	45.4	0	0	0	0	227	0
Cebpz	45.4	0	0	0	0	227	0
BC034090	45.4	0	79	0	148	0	0
B4galt2	45.4	0	0	0	113	114	0
Atp6v0b	45.4	0	0	0	113	114	0
Appbp2	45.4	0	0	0	91	136	0
Tdp1	45.2	0	0	0	226	0	0
