Target_genes	Ctnnb1|Average	SRX3720913|Branchial_arch	SRX3720914|Branchial_arch	SRX11540052|EpiLC	SRX11540053|EpiLC	SRX11540054|EpiLC	SRX11540064|EpiLC	SRX11540065|EpiLC	SRX11540066|EpiLC	SRX11540076|EpiLC	SRX11540077|EpiLC	SRX11540078|EpiLC	SRX9641176|EpiLC	SRX9641177|EpiLC	SRX9641178|EpiLC	SRX9641179|EpiLC	SRX9641180|EpiLC	SRX9641181|EpiLC	SRX9641208|EpiLC	SRX9641209|EpiLC	SRX9641210|EpiLC	SRX9101842|ES_cells	SRX9101843|ES_cells	SRX9101868|ES_cells	SRX9101869|ES_cells	SRX9101878|ES_cells	SRX9101879|ES_cells	SRX9641160|ES_cells	SRX9641161|ES_cells	SRX9641162|ES_cells	SRX25842405|Forelimb	SRX25842406|Forelimb	SRX25842411|Forelimb	SRX25842412|Forelimb	SRX1293143|Hematopoietic_Stem_Cells	SRX1293144|Hematopoietic_Stem_Cells	SRX1293145|Hematopoietic_Stem_Cells	SRX116906|Hepatocytes	SRX9986622|Liver	SRX9986624|Liver	SRX9986626|Liver	SRX6818033|Mesenchymal_stem_cells	SRX6818034|Mesenchymal_stem_cells	SRX6818035|Mesenchymal_stem_cells	SRX6818036|Mesenchymal_stem_cells	SRX5723671|mIMCD-3	SRX5723672|mIMCD-3	SRX5723673|mIMCD-3	SRX5723674|mIMCD-3	SRX5723677|mIMCD-3	SRX5723678|mIMCD-3	SRX5723679|mIMCD-3	SRX5723680|mIMCD-3	SRX172938|Nephron_progenitor	SRX172939|Nephron_progenitor	SRX5825950|Nephron_progenitor	SRX5825951|Nephron_progenitor	SRX5825972|Nephron_progenitor	SRX5825973|Nephron_progenitor	SRX5825994|Nephron_progenitor	SRX5825995|Nephron_progenitor	SRX7856417|Trophoblast_stem_cells	SRX7856418|Trophoblast_stem_cells	STRING
Kctd19	4.741935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Igf2	4.741935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2al2c	4.741935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2al2b	4.741935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emsy	4.741935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnaaf4	4.741935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cpt1a	4.741935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cep57l1	4.741935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr37	4.725806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Utp3	4.725806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Siah1b	4.725806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scly	4.725806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Racgap1	4.725806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nrg2	4.725806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itih1	4.725806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gtpbp4	4.725806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gmds	4.725806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dhrs11	4.725806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clstn2	4.725806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Car3	4.725806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alg8	4.725806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tspyl3	4.709677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Top3a	4.709677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem74b	4.709677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Timm8b	4.709677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tgm3	4.709677	0	0	0	0	193	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smcr8	4.709677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sdhd	4.709677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scgb1b3	4.709677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rasl2-9	4.709677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plcl2	4.709677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Immp1l	4.709677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gtf2h4	4.709677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam228a	4.709677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elp4	4.709677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ebna1bp2	4.709677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cfap57	4.709677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alg14	4.709677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
St6gal2	4.693548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shtn1	4.693548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lztr1	4.693548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gtf3c3	4.693548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm9595	4.693548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gcc1	4.693548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fscn3	4.693548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eepd1	4.693548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cpne8	4.693548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Commd7	4.693548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Celsr2	4.693548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arf5	4.693548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Upf1	4.677419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tprn	4.677419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psmc3	4.677419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mosmo	4.677419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mettl15	4.677419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	75	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kif18a	4.677419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	75	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Galnt13	4.677419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp266	4.66129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vwc2	4.66129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vps39	4.66129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unc13b	4.66129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trcg1	4.66129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmco6	4.66129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	79	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tbcd	4.66129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0
Rsu1	4.66129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pik3cg	4.66129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ltc4s	4.66129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Loxhd1	4.66129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Incenp	4.66129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ercc3	4.66129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnlz	4.66129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddt	4.66129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cldn16	4.66129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2510009E07Rik	4.66129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zdhhc12	4.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0
Wdr44	4.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tex26	4.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tcaim	4.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tbx15	4.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc1a1	4.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nqo2	4.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Notch3	4.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Naa10	4.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myd88	4.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mtx3	4.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC666331	4.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hpn	4.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fgf16	4.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clspn	4.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3gnt3	4.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0
Arxes2	4.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acaa1a	4.645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zdhhc23	4.629032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tox2	4.629032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tex22	4.629032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
