Target_genes	Bach2|Average	SRX264235|CD4+_T_cells	SRX761324|CD4+_T_cells	SRX761325|CD4+_T_cells	SRX5396196|Lymph_Nodes	SRX5396197|Lymph_Nodes	SRX1629385|M1	SRX2200545|Pro-B_cells	SRX2200546|Pro-B_cells	STRING
Camta2	22.250000	0	91	87	0	0	0	0	0	0
Bnipl	22.250000	0	0	0	0	0	0	94	84	0
2810408A11Rik	22.250000	0	0	0	0	0	0	114	64	0
2210408I21Rik	22.250000	0	0	178	0	0	0	0	0	0
Znrd2	22.125000	0	87	90	0	0	0	0	0	0
Zfp316	22.125000	0	0	177	0	0	0	0	0	0
Zfand3	22.125000	0	0	0	0	0	0	177	0	0
Zcchc2	22.125000	73	104	0	0	0	0	0	0	0
Tmem177	22.125000	0	0	177	0	0	0	0	0	0
Tbc1d8	22.125000	0	0	177	0	0	0	0	0	0
Tapbpl	22.125000	0	0	0	177	0	0	0	0	0
Srp72	22.125000	0	0	177	0	0	0	0	0	0
Shisal2b	22.125000	0	0	177	0	0	0	0	0	0
Sh3d21	22.125000	0	0	177	0	0	0	0	0	0
Sgk3	22.125000	0	177	0	0	0	0	0	0	0
Pdk2	22.125000	0	0	177	0	0	0	0	0	0
Naa15	22.125000	0	0	177	0	0	0	0	0	0
Meiob	22.125000	0	0	177	0	0	0	0	0	0
Mcur1	22.125000	0	0	111	0	0	0	0	66	0
Itk	22.125000	0	0	0	0	0	0	177	0	0
Itgb5	22.125000	0	177	0	0	0	0	0	0	0
Gpc5	22.125000	0	0	177	0	0	0	0	0	0
Cfdp1	22.125000	0	0	177	0	0	0	0	0	0
Adss	22.125000	0	0	177	0	0	0	0	0	0
Zdhhc2	22.000000	0	90	86	0	0	0	0	0	0
Trmu	22.000000	0	0	176	0	0	0	0	0	0
Trim33	22.000000	0	90	86	0	0	0	0	0	0
Trappc2l	22.000000	0	0	0	0	0	0	92	84	0
Sntb2	22.000000	0	70	106	0	0	0	0	0	0
Slc38a8	22.000000	0	0	0	0	0	0	176	0	0
Setd4	22.000000	0	0	176	0	0	0	0	0	0
Sdcbp2	22.000000	176	0	0	0	0	0	0	0	0
Plxna1	22.000000	0	0	0	0	0	0	176	0	0
Kat7	22.000000	0	176	0	0	0	0	0	0	0
Galns	22.000000	0	0	0	0	0	0	92	84	0
Cbr1	22.000000	0	0	176	0	0	0	0	0	0
Vapa	21.875000	0	98	77	0	0	0	0	0	0
Trpc4ap	21.875000	0	0	175	0	0	0	0	0	0
Tnfrsf4	21.875000	175	0	0	0	0	0	0	0	0
Gng4	21.875000	0	73	102	0	0	0	0	0	0
Fbxl14	21.875000	0	71	104	0	0	0	0	0	0
Cars2	21.875000	0	0	175	0	0	0	0	0	0
Zmat2	21.750000	0	0	0	0	0	0	0	174	0
Tmem143	21.750000	0	0	0	0	0	0	104	70	0
Tdrd7	21.750000	0	0	174	0	0	0	0	0	0
Syngr4	21.750000	0	0	0	0	0	0	104	70	0
Swsap1	21.750000	0	0	174	0	0	0	0	0	0
Rtn4r	21.750000	0	0	174	0	0	0	0	0	0
Rps21	21.750000	0	0	174	0	0	0	0	0	0
Rpa2	21.750000	0	0	174	0	0	0	0	0	0
Rngtt	21.750000	0	0	174	0	0	0	0	0	0
Rnf24	21.750000	0	0	174	0	0	0	0	0	0
Ptpn4	21.750000	0	174	0	0	0	0	0	0	0
Lrba	21.750000	174	0	0	0	0	0	0	0	0
Irak1bp1	21.750000	0	0	174	0	0	0	0	0	0
Iqcf4	21.750000	0	0	0	0	0	174	0	0	0
Ift140	21.750000	0	93	81	0	0	0	0	0	0
Gm10130	21.750000	0	0	0	0	0	0	174	0	0
Cramp1l	21.750000	0	93	81	0	0	0	0	0	0
Corin	21.750000	0	0	0	0	0	0	174	0	0
Cblc	21.750000	174	0	0	0	0	0	0	0	0
Atxn2	21.750000	0	174	0	0	0	0	0	0	0
Amfr	21.750000	0	0	174	0	0	0	0	0	0
Abtb2	21.750000	0	0	174	0	0	0	0	0	0
Ubap1l	21.625000	0	0	0	0	0	0	173	0	0
Sf3b4	21.625000	0	0	0	0	0	0	75	98	0
Selenof	21.625000	0	173	0	0	0	0	0	0	0
Mro	21.625000	173	0	0	0	0	0	0	0	0
Hs2st1	21.625000	0	173	0	0	0	0	0	0	0
Gtpbp8	21.625000	173	0	0	0	0	0	0	0	0
Grrp1	21.625000	0	0	92	0	0	0	0	81	0
Dhrs7	21.625000	0	173	0	0	0	0	0	0	0
Agtpbp1	21.625000	173	0	0	0	0	0	0	0	0
Zfp968	21.500000	172	0	0	0	0	0	0	0	0
Zfp967	21.500000	172	0	0	0	0	0	0	0	0
Zfp966	21.500000	172	0	0	0	0	0	0	0	0
Zfp689	21.500000	0	0	0	0	0	0	172	0	0
Zfp647	21.500000	0	172	0	0	0	0	0	0	0
Zc3hc1	21.500000	0	0	0	0	0	0	172	0	0
Ube2j1	21.500000	0	172	0	0	0	0	0	0	0
Rnf31	21.500000	0	172	0	0	0	0	0	0	0
Msh4	21.500000	0	0	0	0	0	0	172	0	0
Il11ra1	21.500000	0	172	0	0	0	0	0	0	0
Hmbs	21.500000	0	0	172	0	0	0	0	0	0
Helz	21.500000	0	172	0	0	0	0	0	0	0
Galt	21.500000	0	172	0	0	0	0	0	0	0
Erf	21.500000	0	0	172	0	0	0	0	0	0
Celf6	21.500000	0	0	0	0	0	0	102	70	0
Cd46	21.500000	172	0	0	0	0	0	0	0	0
Atp2a2	21.500000	105	0	67	0	0	0	0	0	0
Ap1m2	21.500000	172	0	0	0	0	0	0	0	0
Smndc1	21.375000	0	84	87	0	0	0	0	0	0
Slc25a14	21.375000	0	171	0	0	0	0	0	0	0
Rnf225	21.375000	0	0	171	0	0	0	0	0	0
Pkn1	21.375000	0	0	0	0	0	0	171	0	0
Kcnk9	21.375000	171	0	0	0	0	0	0	0	0
Itpk1	21.375000	0	0	97	0	0	0	74	0	0
Inip	21.375000	0	171	0	0	0	0	0	0	0
Id3	21.375000	0	171	0	0	0	0	0	0	0
Hfm1	21.375000	0	0	171	0	0	0	0	0	0
Erlec1	21.375000	0	171	0	0	0	0	0	0	0
Cct5	21.375000	0	0	171	0	0	0	0	0	0
Ccdc125	21.375000	0	0	171	0	0	0	0	0	0
Atpsckmt	21.375000	0	0	171	0	0	0	0	0	0
Asb3	21.375000	0	171	0	0	0	0	0	0	0
Zfp59	21.250000	0	0	0	0	0	0	170	0	0
Reep6	21.250000	0	0	0	0	0	0	170	0	0
Ptges2	21.250000	0	170	0	0	0	0	0	0	0
Pcsk4	21.250000	0	0	0	0	0	0	170	0	0
Hey2	21.250000	0	0	170	0	0	0	0	0	0
Golim4	21.250000	0	0	170	0	0	0	0	0	0
Erg	21.250000	0	0	170	0	0	0	0	0	0
Zfp932	21.125000	0	0	0	0	0	0	91	78	0
Zfp386	21.125000	0	0	169	0	0	0	0	0	0
Shpk	21.125000	0	0	169	0	0	0	0	0	0
Rad51c	21.125000	0	0	0	0	0	0	84	85	0
Pik3c2b	21.125000	0	0	169	0	0	0	0	0	0
P2ry14	21.125000	169	0	0	0	0	0	0	0	0
Mrpl24	21.125000	169	0	0	0	0	0	0	0	0
Jade2	21.125000	0	0	0	0	0	0	85	84	0
Ift22	21.125000	95	0	0	0	0	0	74	0	0
Ifitm2	21.125000	169	0	0	0	0	0	0	0	0
Ctns	21.125000	0	0	169	0	0	0	0	0	0
Cnot3	21.125000	0	0	169	0	0	0	0	0	0
Ccdc177	21.125000	0	0	85	0	0	0	84	0	0
Brd1	21.125000	169	0	0	0	0	0	0	0	0
Zfp931	21.000000	168	0	0	0	0	0	0	0	0
Tfpt	21.000000	0	0	0	0	0	0	93	75	0
Tada2b	21.000000	0	0	168	0	0	0	0	0	0
Slc10a3	21.000000	168	0	0	0	0	0	0	0	0
Rasd1	21.000000	0	0	0	0	0	0	84	84	0
Prpf31	21.000000	0	0	0	0	0	0	93	75	0
Prc1	21.000000	0	0	168	0	0	0	0	0	0
Polr1d	21.000000	0	0	168	0	0	0	0	0	0
Map3k1	21.000000	0	0	65	0	0	0	0	103	0
Lnx2	21.000000	0	0	168	0	0	0	0	0	0
Large1	21.000000	168	0	0	0	0	0	0	0	0
Hsd17b4	21.000000	0	0	168	0	0	0	0	0	0
Gm44504	21.000000	168	0	0	0	0	0	0	0	0
Dusp4	21.000000	76	0	92	0	0	0	0	0	0
Dnttip2	21.000000	0	0	0	0	0	0	168	0	0
Ccdc96	21.000000	0	0	168	0	0	0	0	0	0
C1galt1c1	21.000000	168	0	0	0	0	0	0	0	0
Tnni2	20.875000	0	0	0	0	0	0	167	0	0
Smug1	20.875000	62	0	0	0	0	0	105	0	0
Slc10a7	20.875000	0	83	84	0	0	0	0	0	0
Rbmxl1	20.875000	0	83	84	0	0	0	0	0	0
Kng1	20.875000	167	0	0	0	0	0	0	0	0
Kcnk13	20.875000	0	0	167	0	0	0	0	0	0
Gm2004	20.875000	167	0	0	0	0	0	0	0	0
Galnt2	20.875000	0	0	167	0	0	0	0	0	0
Dcaf7	20.875000	0	0	167	0	0	0	0	0	0
Caml	20.875000	0	167	0	0	0	0	0	0	0
Ypel1	20.750000	0	0	166	0	0	0	0	0	0
Wdr24	20.750000	0	0	0	0	0	0	166	0	0
Tm7sf3	20.750000	0	0	166	0	0	0	0	0	0
Rcl1	20.750000	0	0	166	0	0	0	0	0	0
Mtm1	20.750000	0	0	0	0	0	0	166	0	0
Mrpl19	20.750000	0	0	166	0	0	0	0	0	0
Mfn1	20.750000	0	0	166	0	0	0	0	0	0
Il18r1	20.750000	0	0	0	0	0	0	0	166	0
Gucy2e	20.750000	0	0	0	0	0	0	166	0	0
Ggta1	20.750000	0	0	0	0	0	0	0	166	0
Cd27	20.750000	0	0	0	0	0	0	0	166	0
C2cd4c	20.750000	0	0	0	0	0	0	166	0	0
Arl4a	20.750000	0	0	166	0	0	0	0	0	0
Amer3	20.750000	0	0	166	0	0	0	0	0	0
AI987944	20.750000	0	0	0	0	0	0	84	82	0
Tbc1d10b	20.625000	0	0	0	0	0	0	93	72	0
Rab3gap1	20.625000	0	165	0	0	0	0	0	0	0
Pms2	20.625000	0	0	165	0	0	0	0	0	0
Mylpf	20.625000	0	0	0	0	0	0	93	72	0
Hsd17b12	20.625000	0	0	0	0	0	0	93	72	0
Dnajc25	20.625000	0	0	165	0	0	0	0	0	0
Cyp4f13	20.625000	0	0	0	0	0	0	97	68	0
Cfap20dc	20.625000	0	0	165	0	0	0	0	0	0
Aimp2	20.625000	0	0	165	0	0	0	0	0	0
Abcb9	20.625000	0	0	165	0	0	0	0	0	0
Zfp667	20.500000	0	0	164	0	0	0	0	0	0
Zfp14	20.500000	0	0	0	0	0	0	164	0	0
Usp32	20.500000	0	78	86	0	0	0	0	0	0
Tfb2m	20.500000	0	0	164	0	0	0	0	0	0
Slc22a15	20.500000	0	0	164	0	0	0	0	0	0
Rev1	20.500000	0	0	164	0	0	0	0	0	0
Oip5	20.500000	0	164	0	0	0	0	0	0	0
Nusap1	20.500000	0	164	0	0	0	0	0	0	0
Nrtn	20.500000	0	0	164	0	0	0	0	0	0
Kcnk12	20.500000	0	0	0	0	0	0	164	0	0
1600014C23Rik	20.500000	0	0	164	0	0	0	0	0	0
Tspyl2	20.375000	63	0	0	0	0	0	0	100	0
Smurf1	20.375000	163	0	0	0	0	0	0	0	0
Ptpmt1	20.375000	0	0	163	0	0	0	0	0	0
Pdia6	20.375000	0	0	163	0	0	0	0	0	0
Mlycd	20.375000	0	0	163	0	0	0	0	0	0
Gngt2	20.375000	0	0	0	0	0	0	0	163	0
Fbrs	20.375000	0	0	90	0	0	0	73	0	0
Cwc22	20.375000	0	0	163	0	0	0	0	0	0
Cibar1	20.375000	0	0	163	0	0	0	0	0	0
Ccdc32	20.375000	0	0	0	0	0	0	163	0	0
Caprin1	20.375000	0	0	163	0	0	0	0	0	0
Abi3	20.375000	0	0	0	0	0	0	0	163	0
1700025G04Rik	20.375000	0	163	0	0	0	0	0	0	0
Yod1	20.250000	0	162	0	0	0	0	0	0	0
Tspyl4	20.250000	0	0	0	0	0	0	85	77	0
Tmem273	20.250000	0	0	0	0	0	0	162	0	0
Tbc1d10c	20.250000	0	0	162	0	0	0	0	0	0
Rrp12	20.250000	0	162	0	0	0	0	0	0	0
Rbm39	20.250000	162	0	0	0	0	0	0	0	0
Prrc2a	20.250000	0	0	162	0	0	0	0	0	0
Ppp1ca	20.250000	0	0	162	0	0	0	0	0	0
Pfkfb2	20.250000	0	162	0	0	0	0	0	0	0
Odf2	20.250000	0	0	162	0	0	0	0	0	0
Ociad2	20.250000	162	0	0	0	0	0	0	0	0
Mfap3l	20.250000	0	0	162	0	0	0	0	0	0
Hey1	20.250000	0	0	162	0	0	0	0	0	0
Gramd1c	20.250000	0	0	0	0	0	0	162	0	0
Eya1	20.250000	0	0	162	0	0	0	0	0	0
Zfp267	20.125000	0	0	161	0	0	0	0	0	0
Tdrd3	20.125000	0	0	161	0	0	0	0	0	0
Stard7	20.125000	0	0	161	0	0	0	0	0	0
S1pr5	20.125000	0	0	161	0	0	0	0	0	0
Ppp2r5a	20.125000	0	0	161	0	0	0	0	0	0
Mtif2	20.125000	0	161	0	0	0	0	0	0	0
Mfsd13b	20.125000	0	0	161	0	0	0	0	0	0
Lyrm1	20.125000	0	161	0	0	0	0	0	0	0
Itpkc	20.125000	0	0	161	0	0	0	0	0	0
Hsf2	20.125000	161	0	0	0	0	0	0	0	0
Harbi1	20.125000	0	0	0	0	0	0	161	0	0
Dcun1d3	20.125000	0	161	0	0	0	0	0	0	0
Dctn1	20.125000	0	0	161	0	0	0	0	0	0
Dazl	20.125000	0	0	161	0	0	0	0	0	0
Coq8b	20.125000	0	0	161	0	0	0	0	0	0
Cdr2	20.125000	0	0	161	0	0	0	0	0	0
Atg13	20.125000	0	0	0	0	0	0	161	0	0
Thnsl1	20.000000	0	160	0	0	0	0	0	0	0
Plekhm1	20.000000	0	160	0	0	0	0	0	0	0
Phkg2	20.000000	0	0	0	0	0	0	160	0	0
Pdxp	20.000000	0	0	160	0	0	0	0	0	0
Paf1	20.000000	0	160	0	0	0	0	0	0	0
Med29	20.000000	0	160	0	0	0	0	0	0	0
Enkur	20.000000	0	160	0	0	0	0	0	0	0
Dclk2	20.000000	0	0	160	0	0	0	0	0	0
Bbs5	20.000000	160	0	0	0	0	0	0	0	0
Wdr48	19.875000	0	0	159	0	0	0	0	0	0
Siah2	19.875000	0	159	0	0	0	0	0	0	0
Rnft1	19.875000	159	0	0	0	0	0	0	0	0
Gpr157	19.875000	0	0	159	0	0	0	0	0	0
Ctnna3	19.875000	0	159	0	0	0	0	0	0	0
Arel1	19.875000	0	0	0	0	0	0	159	0	0
Tmem63b	19.750000	0	0	158	0	0	0	0	0	0
Prpf8	19.750000	0	158	0	0	0	0	0	0	0
Plvap	19.750000	0	0	0	0	0	0	0	158	0
Nectin1	19.750000	0	0	158	0	0	0	0	0	0
Mrpl14	19.750000	0	0	158	0	0	0	0	0	0
Map1b	19.750000	0	0	0	0	0	0	158	0	0
Dpf1	19.750000	0	0	79	0	0	0	0	79	0
Ctsz	19.750000	158	0	0	0	0	0	0	0	0
Clec2h	19.750000	158	0	0	0	0	0	0	0	0
B3galt2	19.750000	158	0	0	0	0	0	0	0	0
Atp6v0d1	19.750000	0	0	0	0	0	0	0	158	0
Ttc23	19.625000	0	0	0	0	0	0	157	0	0
Tph1	19.625000	0	0	0	0	0	0	157	0	0
Tcf12	19.625000	157	0	0	0	0	0	0	0	0
Rttn	19.625000	0	0	0	0	0	0	157	0	0
Lrrc28	19.625000	0	0	0	0	0	0	157	0	0
Kif3a	19.625000	0	157	0	0	0	0	0	0	0
Gjd3	19.625000	0	0	157	0	0	0	0	0	0
Efna1	19.625000	0	0	0	0	0	0	157	0	0
Cxcl9	19.625000	157	0	0	0	0	0	0	0	0
Cog1	19.625000	0	81	76	0	0	0	0	0	0
Art3	19.625000	157	0	0	0	0	0	0	0	0
Ankrd39	19.625000	0	157	0	0	0	0	0	0	0
Zscan25	19.500000	0	156	0	0	0	0	0	0	0
Zfp24	19.500000	0	156	0	0	0	0	0	0	0
Ttc8	19.500000	0	156	0	0	0	0	0	0	0
Trnt1	19.500000	0	0	156	0	0	0	0	0	0
Tgfb1	19.500000	0	0	0	0	0	0	156	0	0
Snx16	19.500000	0	0	156	0	0	0	0	0	0
Slc16a1	19.500000	0	0	156	0	0	0	0	0	0
Rnf2	19.500000	0	0	156	0	0	0	0	0	0
Prss50	19.500000	0	156	0	0	0	0	0	0	0
Pon2	19.500000	0	156	0	0	0	0	0	0	0
Pa2g4	19.500000	0	156	0	0	0	0	0	0	0
Magohb	19.500000	156	0	0	0	0	0	0	0	0
Kng2	19.500000	156	0	0	0	0	0	0	0	0
Klk15	19.500000	0	0	0	0	0	0	156	0	0
Il13	19.500000	0	156	0	0	0	0	0	0	0
Fam161b	19.500000	0	0	0	0	0	0	156	0	0
Eif3g	19.500000	0	0	156	0	0	0	0	0	0
Crisp2	19.500000	0	0	0	0	0	0	156	0	0
Coq6	19.500000	0	0	0	0	0	0	156	0	0
Cdc42ep3	19.500000	0	0	156	0	0	0	0	0	0
B9d2	19.500000	0	0	0	0	0	0	156	0	0
Asb5	19.500000	0	0	0	0	0	0	156	0	0
A930018P22Rik	19.500000	0	156	0	0	0	0	0	0	0
Zfp334	19.375000	0	0	155	0	0	0	0	0	0
Wdr93	19.375000	0	0	155	0	0	0	0	0	0
Tmem184b	19.375000	0	155	0	0	0	0	0	0	0
Tmem18	19.375000	0	0	155	0	0	0	0	0	0
Tm4sf19	19.375000	0	0	0	0	0	0	155	0	0
Tead3	19.375000	0	0	155	0	0	0	0	0	0
Stk26	19.375000	0	0	155	0	0	0	0	0	0
Stip1	19.375000	0	0	155	0	0	0	0	0	0
Slc47a2	19.375000	0	0	155	0	0	0	0	0	0
Rnf214	19.375000	0	155	0	0	0	0	0	0	0
Pik3c2a	19.375000	0	0	155	0	0	0	0	0	0
Pex11a	19.375000	0	0	155	0	0	0	0	0	0
Pde4dip	19.375000	0	0	155	0	0	0	0	0	0
Pcsk7	19.375000	0	155	0	0	0	0	0	0	0
Ndrg2	19.375000	0	0	155	0	0	0	0	0	0
Myzap	19.375000	0	0	155	0	0	0	0	0	0
Mmp11	19.375000	0	155	0	0	0	0	0	0	0
Lrr1	19.375000	0	0	155	0	0	0	0	0	0
Hsbp1	19.375000	0	0	155	0	0	0	0	0	0
D10Wsu102e	19.375000	0	0	155	0	0	0	0	0	0
Chchd10	19.375000	0	155	0	0	0	0	0	0	0
Atg4c	19.375000	0	0	155	0	0	0	0	0	0
Aqp3	19.375000	0	0	155	0	0	0	0	0	0
Tgfbr3	19.250000	0	154	0	0	0	0	0	0	0
Six5	19.250000	0	0	154	0	0	0	0	0	0
Sidt1	19.250000	0	154	0	0	0	0	0	0	0
Proser2	19.250000	0	0	154	0	0	0	0	0	0
Mapk7	19.250000	0	0	154	0	0	0	0	0	0
Herc3	19.250000	0	0	154	0	0	0	0	0	0
Gpr135	19.250000	0	0	154	0	0	0	0	0	0
Gopc	19.250000	0	0	154	0	0	0	0	0	0
Gng2	19.250000	154	0	0	0	0	0	0	0	0
Dctn4	19.250000	0	0	0	0	0	0	154	0	0
C1ql4	19.250000	0	0	154	0	0	0	0	0	0
Usp18	19.125000	0	153	0	0	0	0	0	0	0
Tmem121b	19.125000	0	0	0	0	0	0	0	153	0
Selenoi	19.125000	0	0	153	0	0	0	0	0	0
Phlda3	19.125000	0	0	153	0	0	0	0	0	0
Mgat5b	19.125000	0	0	153	0	0	0	0	0	0
Kras	19.125000	0	153	0	0	0	0	0	0	0
Itch	19.125000	0	0	153	0	0	0	0	0	0
Hsd17b2	19.125000	0	0	0	0	0	0	153	0	0
Gorab	19.125000	0	0	0	0	0	0	0	153	0
Golm1	19.125000	153	0	0	0	0	0	0	0	0
Gli1	19.125000	0	0	0	0	0	0	153	0	0
Fbxo42	19.125000	0	0	153	0	0	0	0	0	0
Cspg4b	19.125000	0	0	0	0	0	0	84	69	0
Crip2	19.125000	0	88	0	0	0	0	65	0	0
Cdc25b	19.125000	153	0	0	0	0	0	0	0	0
Abracl	19.125000	0	0	0	0	0	0	153	0	0
Zmym5	19.000000	69	0	83	0	0	0	0	0	0
Zfp964	19.000000	0	0	152	0	0	0	0	0	0
Smpd3	19.000000	0	152	0	0	0	0	0	0	0
Sgtb	19.000000	0	0	152	0	0	0	0	0	0
Rfx2	19.000000	0	0	0	0	0	0	0	152	0
Nln	19.000000	0	0	152	0	0	0	0	0	0
Lnpk	19.000000	0	0	152	0	0	0	0	0	0
Dhh	19.000000	0	0	152	0	0	0	0	0	0
Comp	19.000000	0	0	152	0	0	0	0	0	0
Chrnb1	19.000000	152	0	0	0	0	0	0	0	0
Apobec1	19.000000	0	0	0	0	0	0	0	152	0
Ankrd11	19.000000	0	152	0	0	0	0	0	0	0
Alox12	19.000000	152	0	0	0	0	0	0	0	0
Zfp456	18.875000	151	0	0	0	0	0	0	0	0
Tbccd1	18.875000	0	0	151	0	0	0	0	0	0
Spata17	18.875000	0	0	151	0	0	0	0	0	0
Slc10a5	18.875000	0	0	151	0	0	0	0	0	0
Sall4	18.875000	0	0	151	0	0	0	0	0	0
Rpl9	18.875000	0	151	0	0	0	0	0	0	0
Moxd1	18.875000	0	0	151	0	0	0	0	0	0
Map6d1	18.875000	0	0	151	0	0	0	0	0	0
Lias	18.875000	0	151	0	0	0	0	0	0	0
Kremen1	18.875000	0	0	151	0	0	0	0	0	0
Impa1	18.875000	0	0	151	0	0	0	0	0	0
Gpatch2	18.875000	0	0	151	0	0	0	0	0	0
Gemin6	18.875000	0	0	0	0	0	0	151	0	0
Fbxo28	18.875000	0	0	151	0	0	0	0	0	0
Dstn	18.875000	0	78	73	0	0	0	0	0	0
Dnajc24	18.875000	0	0	0	0	0	0	151	0	0
Dnajb11	18.875000	0	0	151	0	0	0	0	0	0
Wee1	18.750000	0	0	150	0	0	0	0	0	0
Wdr3	18.750000	0	0	150	0	0	0	0	0	0
Ttc30b	18.750000	0	150	0	0	0	0	0	0	0
Tssk1	18.750000	0	0	150	0	0	0	0	0	0
Spag4	18.750000	0	0	150	0	0	0	0	0	0
Smdt1	18.750000	0	150	0	0	0	0	0	0	0
Sik2	18.750000	0	0	150	0	0	0	0	0	0
Rab21	18.750000	150	0	0	0	0	0	0	0	0
Rab1a	18.750000	0	0	150	0	0	0	0	0	0
Ppme1	18.750000	0	0	150	0	0	0	0	0	0
Pop4	18.750000	0	0	0	0	0	0	150	0	0
Pheta2	18.750000	0	150	0	0	0	0	0	0	0
Nxnl1	18.750000	0	0	0	0	0	0	0	150	0
Npas2	18.750000	150	0	0	0	0	0	0	0	0
Mprip	18.750000	0	150	0	0	0	0	0	0	0
Dgcr2	18.750000	0	0	150	0	0	0	0	0	0
C2cd3	18.750000	0	0	150	0	0	0	0	0	0
Bmpr1a	18.750000	0	0	150	0	0	0	0	0	0
4833420G17Rik	18.750000	0	0	0	0	0	0	150	0	0
Rpl7l1	18.625000	0	0	0	0	0	0	149	0	0
Rdh1	18.625000	149	0	0	0	0	0	0	0	0
Purb	18.625000	0	0	149	0	0	0	0	0	0
Pm20d2	18.625000	0	0	149	0	0	0	0	0	0
Plscr4	18.625000	0	0	149	0	0	0	0	0	0
Papln	18.625000	0	0	0	0	0	0	0	149	0
Il27	18.625000	149	0	0	0	0	0	0	0	0
Il23r	18.625000	149	0	0	0	0	0	0	0	0
Hipk4	18.625000	149	0	0	0	0	0	0	0	0
Gpr182	18.625000	149	0	0	0	0	0	0	0	0
Gm14305	18.625000	149	0	0	0	0	0	0	0	0
Elob	18.625000	0	0	0	0	0	0	149	0	0
E130308A19Rik	18.625000	0	0	149	0	0	0	0	0	0
Zfp457	18.500000	0	0	0	0	0	0	148	0	0
Vapb	18.500000	0	0	148	0	0	0	0	0	0
Usp42	18.500000	0	0	0	0	0	0	148	0	0
Tomm6	18.500000	0	0	148	0	0	0	0	0	0
Pomk	18.500000	0	148	0	0	0	0	0	0	0
Nos1ap	18.500000	0	0	148	0	0	0	0	0	0
Mycn	18.500000	0	148	0	0	0	0	0	0	0
Cox7a2l	18.500000	0	0	0	0	0	0	0	148	0
Ccdc162	18.500000	148	0	0	0	0	0	0	0	0
Actr6	18.500000	0	0	0	0	0	0	148	0	0
Zfp384	18.375000	0	0	0	0	0	0	147	0	0
Ube2e3	18.375000	0	0	147	0	0	0	0	0	0
Trip12	18.375000	0	0	147	0	0	0	0	0	0
Snx1	18.375000	0	0	0	0	0	0	147	0	0
Rabep2	18.375000	0	0	147	0	0	0	0	0	0
Pstpip2	18.375000	0	0	147	0	0	0	0	0	0
Pdlim5	18.375000	0	0	147	0	0	0	0	0	0
Paqr8	18.375000	0	147	0	0	0	0	0	0	0
Mturn	18.375000	147	0	0	0	0	0	0	0	0
Jagn1	18.375000	0	0	147	0	0	0	0	0	0
Filip1l	18.375000	0	147	0	0	0	0	0	0	0
Fbxo36	18.375000	0	0	147	0	0	0	0	0	0
Ciao2a	18.375000	0	0	0	0	0	0	147	0	0
Chadl	18.375000	0	0	147	0	0	0	0	0	0
Zfp109	18.250000	146	0	0	0	0	0	0	0	0
Zdhhc12	18.250000	0	0	0	0	0	0	146	0	0
Tmem255a	18.250000	0	0	0	0	0	0	146	0	0
Tlcd3b	18.250000	0	0	0	0	0	0	146	0	0
Slamf7	18.250000	146	0	0	0	0	0	0	0	0
Sephs1	18.250000	146	0	0	0	0	0	0	0	0
Mob3a	18.250000	0	146	0	0	0	0	0	0	0
Mcm9	18.250000	0	146	0	0	0	0	0	0	0
Jph2	18.250000	0	0	0	0	0	0	146	0	0
Izumo4	18.250000	0	146	0	0	0	0	0	0	0
Hs3st3a1	18.250000	146	0	0	0	0	0	0	0	0
Gid8	18.250000	0	0	146	0	0	0	0	0	0
Cstf2	18.250000	0	146	0	0	0	0	0	0	0
Aspm	18.250000	0	0	146	0	0	0	0	0	0
Usf2	18.125000	0	0	145	0	0	0	0	0	0
Tiprl	18.125000	0	0	145	0	0	0	0	0	0
Tcp10c	18.125000	0	0	0	0	0	145	0	0	0
Snrk	18.125000	0	145	0	0	0	0	0	0	0
Shq1	18.125000	0	0	145	0	0	0	0	0	0
Rora	18.125000	0	145	0	0	0	0	0	0	0
Rnf122	18.125000	0	145	0	0	0	0	0	0	0
Padi4	18.125000	0	0	0	0	0	0	145	0	0
P4ha2	18.125000	0	0	145	0	0	0	0	0	0
Myg1	18.125000	0	0	0	0	0	0	145	0	0
Med25	18.125000	0	0	145	0	0	0	0	0	0
Kif5c	18.125000	0	0	145	0	0	0	0	0	0
Ints9	18.125000	145	0	0	0	0	0	0	0	0
Hmbox1	18.125000	145	0	0	0	0	0	0	0	0
Fuz	18.125000	0	0	145	0	0	0	0	0	0
Fgd4	18.125000	0	0	145	0	0	0	0	0	0
Drosha	18.125000	0	145	0	0	0	0	0	0	0
Commd3	18.125000	0	0	145	0	0	0	0	0	0
Cdkl2	18.125000	0	145	0	0	0	0	0	0	0
Brpf3	18.125000	0	0	145	0	0	0	0	0	0
Bmi1	18.125000	0	0	145	0	0	0	0	0	0
Bcor	18.125000	0	145	0	0	0	0	0	0	0
Aplp2	18.125000	0	0	145	0	0	0	0	0	0
Ankrd50	18.125000	0	145	0	0	0	0	0	0	0
6030458C11Rik	18.125000	0	145	0	0	0	0	0	0	0
Ttyh3	18.000000	0	0	144	0	0	0	0	0	0
Tfcp2	18.000000	0	144	0	0	0	0	0	0	0
Smim11	18.000000	0	0	0	0	0	0	144	0	0
Slc30a2	18.000000	0	0	144	0	0	0	0	0	0
Ppp6r2	18.000000	0	0	144	0	0	0	0	0	0
Pls1	18.000000	0	0	144	0	0	0	0	0	0
