Target_genes	Rara|Average	SRX018669|ES_cells	SRX10562781|ES_cells	SRX208055|ES_cells	SRX208062|ES_cells	SRX520462|F9	SRX520468|F9	SRX520474|F9	SRX520479|F9	SRX3301664|Forelimb	SRX3301665|Forelimb	SRX4369776|Germline_stem_cells	SRX4369779|Germline_stem_cells	SRX4369782|Germline_stem_cells	SRX4369785|Germline_stem_cells	SRX337439|Liver	SRX018670|mESC_derived_neural_cells	SRX118692|mESC_derived_neural_cells	SRX118693|mESC_derived_neural_cells	SRX675957|Th1_Cells	STRING
Dcc	8.894737	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0
Clic3	8.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0
Ccdc17	8.894737	0	0	77	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0
C4b	8.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0
Bfsp1	8.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0
Atp8a1	8.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0
Ankrd33b	8.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0
Adam8	8.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0
2810408A11Rik	8.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0
Zfp239	8.842105	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r59	8.842105	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0
Tpsg1	8.842105	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0
Tpsb2	8.842105	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0
Tmprss11g	8.842105	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0
Thpo	8.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0
Sytl2	8.842105	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0
St7	8.842105	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0
Smox	8.842105	0	0	95	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0
Ripor1	8.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0
Pla2g6	8.842105	0	0	89	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0
Pfkl	8.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0
Pcdh7	8.842105	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0
Olfr315	8.842105	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0
Olfr235	8.842105	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1193	8.842105	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0
Kif5a	8.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0
Hip1	8.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0
Gm14326	8.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0
Gcnt4	8.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0
Gar1	8.842105	0	0	85	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0
Gabra1	8.842105	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0
Erp27	8.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0
Dmbt1	8.842105	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0
Dctn2	8.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0
D6Ertd527e	8.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0
Crtc3	8.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0
Chrd	8.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0
Cdh5	8.842105	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd34c	8.842105	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0
Zfp937	8.789474	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0
Zfp112	8.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0
Tnfsf10	8.789474	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0
Sla	8.789474	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0
Mtfmt	8.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0
Homer2	8.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0
Fmnl2	8.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0
Exosc9	8.789474	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exosc3	8.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0
Drc7	8.789474	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cep78	8.789474	0	0	94	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0
Celsr3	8.789474	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bmpr1b	8.789474	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018B08Rik	8.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0
Zhx2	8.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0
Ulbp1	8.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0
Tnnc1	8.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0
Snx8	8.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0
Rnf166	8.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0
Proser2	8.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0
Pdilt	8.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0
Nr1h4	8.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0
Nod1	8.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0
Nisch	8.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0
Mrm3	8.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0
Mprip	8.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0
Kcnc1	8.736842	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jrkl	8.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0
Idh3a	8.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0
Htra1	8.736842	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0
H2-T-ps	8.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0
Glod4	8.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0
Fam76b	8.736842	0	0	71	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0
Fam71f2	8.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0
Ctu2	8.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0
Clint1	8.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0
Cep57	8.736842	0	0	71	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0
Ccdc82	8.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0
Aga	8.736842	0	0	93	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0
Xpnpep1	8.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0
Vpreb2	8.684211	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r6	8.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0
Vmn2r42	8.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0
Usp35	8.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0
Tyrp1	8.684211	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trpv5	8.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0
Trappc9	8.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0
Sec11c	8.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0
Ppp1r7	8.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0
Pask	8.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0
Olfr1197	8.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0
Nup107	8.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0
Nme6	8.684211	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mthfd1	8.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0
Klk1b4	8.684211	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kif28	8.684211	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kctd21	8.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0
Igfals	8.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0
Heatr3	8.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0
Gm51263	8.684211	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epha7	8.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0
Defb39	8.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0
Camsap1	8.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0
Btbd18	8.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0
Acat3	8.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0
Zscan22	8.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0
Zfp580	8.631579	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tap2	8.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0
Slc35b2	8.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0
Slc25a48	8.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0
Rxfp1	8.631579	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0
Prkaca	8.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0
Myo15b	8.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0
Lrrc47	8.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0
L3mbtl3	8.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0
Klhl25	8.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0
Dnase2b	8.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0
Cyp2c69	8.631579	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp24	8.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0
Zfp114	8.578947	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr54	8.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0
Spn	8.578947	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdyn	8.578947	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpp6	8.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0
Lpar4	8.578947	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhl36	8.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0
Jph3	8.578947	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0
Gm51573	8.578947	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm4922	8.578947	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm3488	8.578947	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbl	8.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0
Dapk1	8.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0
Dach1	8.578947	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crnkl1	8.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0
Cfap61	8.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0
Atoh8	8.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0
Aspm	8.578947	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003E16Rik	8.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0
Usp1	8.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0
Tesmin	8.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0
Tcte2	8.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0
Sox14	8.526316	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc38a7	8.526316	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serf1	8.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0
Sema6a	8.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0
Marveld1	8.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0
Lmntd1	8.526316	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lcor	8.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0
Gm14410	8.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0
Gdpd2	8.526316	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0
Endov	8.526316	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cstf2	8.526316	0	0	78	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0
Bdp1	8.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0
Afdn	8.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0
Zfp810	8.473684	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp142	8.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0
Uba1	8.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0
Ttc33	8.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0
Trim32	8.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0
Tmem95	8.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0
Thbd	8.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0
Tap1	8.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0
Stom	8.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0
Stag2	8.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0
Ssh1	8.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0
Smim17	8.473684	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Setmar	8.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0
Serpind1	8.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0
Ruvbl2	8.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0
Psmb9	8.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0
Ppp1r12c	8.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0
Osbp	8.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0
Nrp2	8.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0
Mmp21	8.473684	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kctd11	8.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0
Herc3	8.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0
Gys1	8.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0
Dnph1	8.473684	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Casz1	8.473684	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bet1	8.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0
Bcs1l	8.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0
Bcl11a	8.473684	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr31	8.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0
Trim45	8.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0
Tctex1d1	8.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0
Stxbp5l	8.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0
Spice1	8.421053	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scyl2	8.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0
Rtl9	8.421053	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhog	8.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0
Ptpdc1	8.421053	0	0	81	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0
Plcb4	8.421053	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pgap6	8.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0
Pgam1	8.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0
Oscar	8.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0
Ndufa3	8.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0
Lrrk2	8.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0
Lrfn2	8.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0
Lgr6	8.421053	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lamc3	8.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0
Kif26a	8.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0
Itga6	8.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0
Ino80e	8.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0
Igfbp5	8.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0
I830077J02Rik	8.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0
Hirip3	8.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0
Gsg1	8.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0
Emc9	8.421053	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnah8	8.421053	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c68	8.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0
Cldn34-ps	8.421053	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ank3	8.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0
Abca6	8.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0
U2af2	8.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0
Trim8	8.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0
Tmem164	8.368421	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0
Slitrk6	8.368421	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0
Rspo3	8.368421	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r3f	8.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0
Pcdhgc4	8.368421	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0
Nfe2l3	8.368421	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0
Lin7b	8.368421	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Homez	8.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0
Gramd3	8.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0
Elob	8.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0
Dnajc28	8.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0
Dkk4	8.368421	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dhx58	8.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0
Zfp111	8.315789	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vamp3	8.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0
Ube2q1	8.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0
Tlx2	8.315789	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab29	8.315789	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pth2r	8.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0
Plekhg4	8.315789	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Per2	8.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0
Olfr1385	8.315789	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klk5	8.315789	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ildr1	8.315789	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0
Ifi30	8.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0
Hpse	8.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0
Gm5935	8.315789	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxl13	8.315789	0	0	72	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0
Dcbld2	8.315789	0	0	0	74	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0
Coro1c	8.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0
Ceacam1	8.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0
Bbs1	8.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0
Armc10	8.315789	0	0	72	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0
Aph1b	8.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0
Ajap1	8.315789	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zc3h14	8.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0
Tlr6	8.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0
Slco2b1	8.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0
Rdh5	8.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0
Psmg4	8.263158	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psip1	8.263158	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr484	8.263158	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mettl3	8.263158	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxd9	8.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0
Hoxd8	8.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0
Gsap	8.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0
Commd6	8.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0
C1galt1	8.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0
Bloc1s1	8.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0
Angpt1	8.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0
Zfr2	8.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0
Thtpa	8.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0
Shkbp1	8.210526	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rwdd1	8.210526	0	0	93	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0
