Target_genes	Cbfb|Average	SRX184870|CD4+_T_cells	SRX5780109|CD4+_T_cells	SRX2527476|CD8+_T_cells	SRX2527477|CD8+_T_cells	SRX2527478|CD8+_T_cells	SRX5780111|CD8+_T_cells	SRX2389669|Embryonic_liver	SRX2389670|Embryonic_liver	SRX2389671|Embryonic_liver	SRX4676998|Innate_lymphoid_cells	SRX4676999|Innate_lymphoid_cells	SRX4677003|Innate_lymphoid_cells	SRX4677004|Innate_lymphoid_cells	SRX105447|L8057	SRX105451|L8057	SRX105457|Thymocytes	SRX105461|Thymocytes	SRX2389672|Thymocytes	SRX2389673|Thymocytes	SRX2389674|Thymocytes	SRX184869|Treg	STRING
Frem1	13.190476	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	0	0	0
Efcab12	13.190476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	140	0	0
Armcx3	13.190476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	91	0	0
2610528A11Rik	13.190476	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0
Ugt1a1	13.142857	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	165	0	0	0
Tnnt2	13.095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	159	0	0
Glis1	13.095238	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0	0	0	0	0
Pgf	13.047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	132	0	0
Olfr430	13.047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	0	0	0
Htra4	13.047619	0	0	0	0	0	0	0	0	0	0	0	0	0	165	109	0	0	0	0	0	0	0
Gm5800	13.047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	0	0	0
Dlg2	13.047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	0	0	0
Sectm1a	13.000000	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0
Rab31	13.000000	0	0	0	0	0	0	0	0	0	123	0	150	0	0	0	0	0	0	0	0	0	0
Ptpn14	13.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	115	0	0
Nog	13.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	120	0	0
Mybph	13.000000	0	0	0	0	0	0	0	0	134	0	0	0	0	139	0	0	0	0	0	0	0	0
Lrmda	13.000000	0	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0
Aplnr	13.000000	0	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0
Smoc1	12.952381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	128	0	0
Mab21l3	12.952381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	144	0	0
Gabarapl1	12.952381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	126	0	0
Tcf7l2	12.857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	131	0	0
Piwil4	12.857143	0	0	0	0	0	0	0	0	0	0	0	0	0	152	118	0	0	0	0	0	0	0
Pdzd3	12.857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	95	0	0
Mfsd2a	12.857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	151	0	0
Gpr156	12.857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	97	0	0
Fcgr2b	12.857143	0	0	0	0	161	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0
Plod2	12.809524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	133	0	0
Olfr1036	12.809524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	0	0	0
Klra23	12.809524	0	0	0	0	110	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr613	12.761905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0
Gm21190	12.761905	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0
Fsip1	12.761905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	97	0	0
Ugt1a6b	12.714286	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0
Csf2	12.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0
Bcar1	12.714286	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0
Apoa1	12.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	116	0	0	0	0
Tph1	12.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	78	188	0	0	0	0	0	0	0
Tlr7	12.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	161	0	0
G0s2	12.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	86	0	0
Eps8	12.666667	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0
Cth	12.666667	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	123	0	0	0	0
Colq	12.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	117	0	0
Cibar1	12.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	117	0	0
B3gnt6	12.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	127	0	0
Abcg4	12.666667	0	0	0	0	0	0	0	0	190	0	0	0	0	0	76	0	0	0	0	0	0	0
Pkib	12.619048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0
Olfr702	12.619048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0
Itih1	12.619048	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	0
Gphb5	12.619048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	99	0	0
Gja10	12.619048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0
Foxp3	12.619048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	103	0	0
Fmo1	12.619048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0
Crmp1	12.619048	0	181	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmo1	12.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	152	0	0
Vmn2r74	12.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0
Speer4f2	12.571429	0	0	0	0	0	0	0	0	143	0	0	0	0	121	0	0	0	0	0	0	0	0
Klhl23	12.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	153	0	0
Fibcd1	12.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	133	0	0
Bcl2l15	12.571429	0	0	0	0	0	0	0	0	0	150	114	0	0	0	0	0	0	0	0	0	0	0
Vstm5	12.523810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0
Gramd4	12.523810	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0
H2-Bl	12.476190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	103	0	0
Flywch2	12.476190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	128	0	0
Mgat5b	12.428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	122	0	0
Chm	12.428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	153	0	0
Ccdc141	12.428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	137	0	0
Acot4	12.428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	145	0	0
Slc34a1	12.380952	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0
Prim1	12.380952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0
Olfr853	12.380952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0
Kcns2	12.380952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0
C130050O18Rik	12.380952	0	0	0	0	0	0	0	0	91	0	0	0	0	169	0	0	0	0	0	0	0	0
Tmprss9	12.333333	0	0	0	0	0	0	0	0	122	0	0	0	0	137	0	0	0	0	0	0	0	0
Tmem150b	12.333333	0	0	0	0	0	0	0	0	144	0	0	0	0	0	115	0	0	0	0	0	0	0
Gm4832	12.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	71	0	0	0
Fam71f1	12.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	130	0	0
Cdh19	12.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	0	0	0
Neurog2	12.285714	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	120	0	0	0	0
Lgr4	12.285714	0	0	0	0	0	0	97	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0
Yy2	12.238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0
Rac3	12.238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	141	0	0
Pabpc5	12.238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0
Lhx2	12.238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0
Lat2	12.238095	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0
Kdr	12.238095	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0
Hspg2	12.238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	122	0	0
Bicd1	12.238095	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0
Sobp	12.190476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	143	0	0
Ppfia4	12.190476	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	130	0	0	0	0
Olfr444	12.190476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	0
Olfr231	12.190476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	0
Olfr1487	12.190476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	0
Nlrp9c	12.190476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	0
Inhbc	12.190476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	0
Glt8d2	12.190476	0	0	0	0	0	0	0	0	0	0	0	0	0	108	148	0	0	0	0	0	0	0
Akr1cl	12.190476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	0
1300017J02Rik	12.190476	0	0	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0
Tnfrsf11a	12.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	127	128	0	0	0	0	0	0	0
Tmc4	12.142857	0	0	0	0	0	0	0	0	85	0	0	0	0	170	0	0	0	0	0	0	0	0
Slc2a6	12.142857	0	0	0	0	0	0	0	0	119	0	0	0	0	136	0	0	0	0	0	0	0	0
Nfe2l3	12.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	93	0	0
Mndal	12.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	131	0	0
Mab21l1	12.142857	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	120	0	0	0
Bicdl2	12.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	75	0	0
Timm8a2	12.095238	0	152	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Speer4d	12.095238	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tlx2	12.047619	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0
Fstl4	12.047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	145	0	0
Cdr2l	12.047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	114	0	0
Xaf1	12.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	107	0	0
Vipr1	12.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	121	0	0
Slc22a17	12.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	97	0	0
Shroom3	12.000000	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0
Ndrg4	12.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	105	0	0	0
Lyzl4	12.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	121	0	0
Defb30	12.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	151	101	0	0	0	0	0	0	0
Decr1	12.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	97	0	0
Mro	11.952381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	111	0	0
Zbtb8b	11.904762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	117	0	0
Tex48	11.904762	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0
Serinc2	11.904762	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0
Olfr706	11.904762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0
Lrrc73	11.904762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	107	0	0
Adh1	11.904762	0	78	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Speer4c	11.857143	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trpc1	11.809524	0	0	0	0	124	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0
Dok4	11.809524	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0
Sfmbt2	11.761905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	143	0	0
Pde9a	11.761905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	84	0	0
Fcmr	11.761905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	100	0	0
B3galnt1	11.761905	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0
Tent5b	11.714286	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	85	0	94	0	0
Olfr948	11.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0
Olfr1223	11.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0
Ociad2	11.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	91	0	0
Mcc	11.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0
Gprin3	11.714286	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0
Dmrta1	11.714286	0	0	0	0	0	129	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0
Bsx	11.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0
Amelx	11.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0
4930447A16Rik	11.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0
Rhou	11.666667	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0
Trem1	11.619048	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0
Sema4g	11.619048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	84	0	0
Muc6	11.619048	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm1966	11.619048	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0
Dsel	11.619048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	136	0	0
Cybrd1	11.619048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	120	0	0
Sult6b2	11.571429	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0
Dpp7	11.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	145	0	0
Ctbp2	11.571429	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0
Adamts2	11.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	112	0	0
Slc7a7	11.523810	0	0	0	0	0	0	0	0	0	0	0	0	0	74	168	0	0	0	0	0	0	0
Pld6	11.523810	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	108	0	0	0	0
Dtx3	11.523810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	139	0	0
Slc36a4	11.476190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	0
Olfr818	11.476190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0
Neil2	11.476190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	0
Krtap5-3	11.476190	0	0	0	0	0	0	0	116	125	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpr174	11.476190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	112	0	0
Clic5	11.476190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	126	0	0
Chrnb2	11.476190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	0
Atp11a	11.476190	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0
Olfr769	11.428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0
Brsk2	11.428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	124	0	0
Wdfy4	11.380952	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trim67	11.380952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	77	0	0
Tnip1	11.380952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	113	0	0
Ifitm1	11.380952	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0
Dock7	11.380952	0	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0
Xirp1	11.333333	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tctn2	11.333333	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0
Spef1	11.285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	92	0	0
Olfr729	11.285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0
Npy5r	11.285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0
Npy1r	11.285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0
Nlrp9a	11.285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0
Defb18	11.285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0
Cul9	11.285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	136	0	0
Anxa4	11.285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	74	0	0
Anxa10	11.285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0
Epyc	11.238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0
Dnah7a	11.238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	120	0	0	0
Bdkrb2	11.238095	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0
Npdc1	11.190476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	72	0	0
Prkg1	11.142857	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r26	11.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	103	0	0
Cd9	11.142857	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	121	0	0	0	0
Lmx1b	11.095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	94	0	0
Klre1	11.095238	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fjx1	11.095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	127	0	0
Ffar2	11.095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	117	0	0
Azin2	11.095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	108	0	0
Tnfrsf17	11.047619	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	123	0	0	0	0
Teddm1a	11.047619	0	0	0	0	0	0	0	0	101	0	0	0	0	131	0	0	0	0	0	0	0	0
Olfr1158	11.047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0
Gpr83	11.047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0
Creb5	11.047619	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0
Ceacam1	11.047619	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0
Prss30	11.000000	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mmp11	11.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	110	0	0
Kmo	11.000000	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0
Golga7b	11.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	116	0	0	0	0
Gm867	11.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	110	0	0
Epb41l5	11.000000	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	111	0	0	0	0
Chchd10	11.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	110	0	0
Calr4	11.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0
Adam6b	11.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	133	0	0
Tas2r109	10.952381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0
Naip2	10.952381	0	0	0	0	0	0	0	0	0	0	0	0	0	114	116	0	0	0	0	0	0	0
Mcpt1	10.952381	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0
Abcb1a	10.952381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0
Tmem169	10.904762	0	88	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0
Thsd1	10.904762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	148	0	0
Tcte2	10.904762	0	0	0	0	0	86	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0
Scx	10.904762	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0
Pecr	10.904762	0	88	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0
Ebf3	10.904762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	94	0	0
Chst2	10.904762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	122	0	0
Afdn	10.904762	0	0	0	0	0	86	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0
Prss39	10.857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0
Pianp	10.857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	110	0	0
Gm39774	10.857143	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glra3	10.857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0
Ermap	10.857143	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0
Adam29	10.857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0
Syt8	10.809524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	111	0	0
Hsd3b1	10.809524	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0
Tubb6	10.761905	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0
Card10	10.761905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	97	0	0
Slc9a3r2	10.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	119	0	0	0	0
Pter	10.714286	0	0	0	0	0	0	0	0	144	0	0	0	0	81	0	0	0	0	0	0	0	0
Lrrn4cl	10.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	153	72	0	0	0	0	0	0	0
Itga2	10.714286	0	136	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Farp1	10.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	97	0	0
Tcaf1	10.666667	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnd1	10.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	101	0	0
Pgap4	10.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	99	125	0	0	0	0	0	0	0
Ttc25	10.619048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0
Tlcd3b	10.619048	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	101	0	0	0	0
Sh3bgrl	10.619048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	115	0	0
Radil	10.619048	0	0	0	0	0	0	0	0	125	0	0	0	0	98	0	0	0	0	0	0	0	0
Plvap	10.619048	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0
Ltbp4	10.619048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0
Il18	10.619048	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	130	0	0	0
