Target_genes	Gabpa|Average	SRX3041631|CD4+_T_cells	SRX2974920|EML_	SRX5850103|ES_cells	SRX5850104|ES_cells	SRX5850105|ES_cells	SRX5850106|ES_cells	SRX5850107|ES_cells	SRX5850108|ES_cells	SRX5850109|ES_cells	SRX5850110|ES_cells	SRX5850111|ES_cells	SRX5850112|ES_cells	SRX5850113|ES_cells	SRX5850114|ES_cells	SRX2242853|Macrophages	SRX2242855|Macrophages	SRX2242856|Macrophages	SRX12708491|White_adipose_tissue	SRX12708492|White_adipose_tissue	STRING
Faap100	11.578947	0	0	0	0	0	0	0	0	0	126	94	0	0	0	0	0	0	0	0	0
Znrf4	11.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0
Tmcc2	11.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0
Ell	11.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	124	0
Tmem158	11.473684	0	0	0	0	108	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0
Tmco3	11.473684	0	0	0	0	103	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0
Tbc1d30	11.473684	0	0	0	0	0	103	0	0	0	115	0	0	0	0	0	0	0	0	0	0
Sh3rf1	11.473684	0	0	0	0	89	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0
Olfr1	11.473684	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nkrf	11.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0
Maneal	11.473684	0	0	0	0	0	0	0	0	0	0	0	107	0	111	0	0	0	0	0	0
Dcun1d2	11.473684	0	0	0	0	103	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0
Ctnnd2	11.473684	0	0	0	0	80	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0
Aldoart2	11.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0
B9d2	11.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0
Ubn1	11.368421	0	0	0	0	0	0	0	0	0	0	0	123	0	93	0	0	0	0	0	0
Tesk2	11.368421	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0
Rnf215	11.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0
Mob3c	11.368421	0	0	0	0	0	0	0	0	0	0	0	123	0	0	93	0	0	0	0	0
Ilvbl	11.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	116	0
H3c7	11.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	136	0
H2bc9	11.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	136	0
Glyr1	11.368421	0	0	0	0	0	0	0	0	0	0	0	123	0	93	0	0	0	0	0	0
Cenps	11.368421	0	0	0	0	0	0	0	0	0	0	0	87	0	0	129	0	0	0	0	0
Ankrd37	11.368421	0	0	0	0	72	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0
Spaar	11.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0
Il18	11.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0
Hrct1	11.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0
Epb41l2	11.315789	0	0	0	0	0	0	0	0	0	0	0	104	0	0	111	0	0	0	0	0
Emx2	11.315789	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	117	0	0
Cdkn2aipnl	11.315789	0	0	0	0	93	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0
Cd300ld3	11.315789	0	0	0	0	0	0	76	0	0	0	0	0	0	139	0	0	0	0	0	0
Cd180	11.315789	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bco2	11.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0
Ankrd39	11.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	136	0	0
Zw10	11.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0
Ybx2	11.263158	0	0	0	0	83	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0
Phospho1	11.263158	112	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hnf1a	11.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0
2510009E07Rik	11.263158	0	0	0	0	92	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0
Pkm	11.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	62	0
Oip5	11.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	76	0
Nusap1	11.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	76	0
Nup93	11.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0
Gmppa	11.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	134	0
Cul9	11.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0
Alpk1	11.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	78	0
Tcf12	11.157895	0	112	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0
Snap91	11.157895	0	0	0	0	108	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0
Senp6	11.157895	0	0	0	86	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnd1	11.157895	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0
Itih1	11.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	130	0	0
H2-Bl	11.157895	0	0	0	0	73	0	0	0	0	60	0	79	0	0	0	0	0	0	0	0
Ehd1	11.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0
Depdc5	11.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0
Cox7b2	11.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0
Bmyc	11.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	127	0
Arhgap9	11.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0
Zfp664	11.105263	0	0	0	0	125	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0
Sec63	11.105263	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	116	0	0
Ercc2	11.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0
Ccdc92	11.105263	0	0	0	0	125	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0
Ccdc8	11.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0
Sergef	11.052632	0	0	0	0	91	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0
Lilra5	11.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0
Klf13	11.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	89	121	0	0	0	0	0
H2-Ea	11.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0
Ptges3	11.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0
Hook2	11.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0
Ebi3	11.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0
Crtap	11.000000	0	0	0	0	0	0	0	0	0	121	0	88	0	0	0	0	0	0	0	0
Celsr3	11.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0
Arhgef6	11.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0
Toporsl	10.947368	0	0	0	0	96	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0
Tmem30b	10.947368	0	0	0	0	0	0	0	0	0	119	0	89	0	0	0	0	0	0	0	0
Smad2	10.947368	0	0	0	120	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0
Sh3bp5	10.947368	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	112	0
Nans	10.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0
Mcur1	10.947368	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0
Carmil2	10.947368	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apol11a	10.947368	0	0	0	0	0	0	0	0	0	140	0	0	0	68	0	0	0	0	0	0
Acer1	10.947368	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube2c	10.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	95	0
Tsku	10.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0
Midn	10.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	106	0
Metrnl	10.894737	0	0	0	0	94	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0
Mblac1	10.894737	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0
Ktn1	10.894737	0	0	0	0	0	0	0	0	0	0	0	104	0	0	103	0	0	0	0	0
2510039O18Rik	10.894737	0	0	0	0	0	0	0	0	0	0	109	98	0	0	0	0	0	0	0	0
Tifab	10.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0
Rnf213	10.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	112	0
Hexim1	10.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	102	0
Fzd2	10.842105	0	0	0	0	110	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0
Fam89a	10.842105	0	0	0	0	0	0	0	0	0	0	0	130	0	76	0	0	0	0	0	0
Ercc6l	10.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0
Dolpp1	10.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0
Arhgdib	10.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0
Pcdhb22	10.789474	0	0	0	0	99	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0
Pcdhb21	10.789474	0	0	0	0	99	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0
Ntn1	10.789474	0	0	0	0	80	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0
Hp	10.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	105	0
Hacd1	10.789474	0	0	0	0	101	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0
Cd300lg	10.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	114	0
Ccnyl1	10.789474	101	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0
1700122O11Rik	10.789474	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0
Washc5	10.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	75	0
Vapa	10.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	110	0
Rabl6	10.736842	0	0	0	0	117	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0
Nsmce2	10.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	75	0
Nrros	10.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0
Lacc1	10.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0
H2-M3	10.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	121	0
Gm38499	10.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0
Cops6	10.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0
Cnr2	10.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0
Ccdc122	10.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0
Uhrf2	10.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0
Slc22a23	10.684211	0	0	0	0	0	0	0	0	0	96	0	107	0	0	0	0	0	0	0	0
Reln	10.684211	0	0	0	0	124	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0
Psmb2	10.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	121	0
Prkar2a	10.684211	0	0	0	0	0	122	0	0	0	81	0	0	0	0	0	0	0	0	0	0
Pop4	10.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	87	0
Marveld2	10.684211	0	0	0	84	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hcfc2	10.684211	0	0	0	0	0	0	0	0	0	0	0	96	0	0	107	0	0	0	0	0
Dennd1c	10.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0
Olfr170	10.631579	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0
Nanog	10.631579	0	0	0	0	100	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0
Flvcr1	10.631579	0	0	0	0	115	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0
Efemp2	10.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0
Arhgap25	10.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0
Nrp2	10.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	103	0
Kbtbd13	10.578947	0	0	0	0	0	0	0	0	0	124	0	0	0	77	0	0	0	0	0	0
Jarid2	10.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0
Gm15114	10.578947	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif4b	10.578947	0	0	0	0	0	0	0	0	0	0	0	78	0	0	123	0	0	0	0	0
Ugdh	10.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0
Txnrd2	10.526316	0	0	0	0	134	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppia	10.526316	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	87	0
Nr1d1	10.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0
Ip6k1	10.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0
Ebf3	10.526316	0	0	0	0	91	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0
Comt	10.526316	0	0	0	0	134	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0
Wfikkn1	10.473684	0	0	0	0	79	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0
Trim12c	10.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	132	0
Ptprv	10.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0
Ptpn7	10.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0
Ndst1	10.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0
Mocs2	10.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0
Speg	10.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0
Lactbl1	10.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0
Greb1	10.421053	0	0	0	0	94	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0
Fbxo21	10.421053	0	0	0	0	105	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0
Fam133b	10.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0
Tmem87b	10.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	84	0
Socs6	10.368421	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paqr9	10.368421	0	0	0	0	114	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0
Npepps	10.368421	0	0	0	0	74	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0
Ctnnbip1	10.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0
Cox6c	10.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0
Aoah	10.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0
Wipi1	10.315789	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc10a7	10.315789	0	0	0	0	92	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0
Rbmxl1	10.315789	0	0	0	0	92	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0
Rasgrf2	10.315789	0	0	0	0	65	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rasa3	10.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	106	0
Pomgnt1	10.315789	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr435	10.315789	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ms4a6c	10.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0
H2-Q8	10.315789	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0
H2-Q6	10.315789	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0
Fgf20	10.315789	0	0	0	0	98	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0
Crppa	10.315789	0	0	0	0	0	0	0	0	0	0	0	88	0	108	0	0	0	0	0	0
Cog6	10.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	108	88	0	0	0	0	0
Cep85	10.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	85	0
Btg3	10.315789	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tuft1	10.263158	0	0	0	0	0	0	0	0	0	0	0	86	0	0	109	0	0	0	0	0
Sptbn4	10.263158	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Qrsl1	10.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0
Inafm1	10.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0
Galnt17	10.263158	0	0	0	0	0	0	0	0	0	100	0	95	0	0	0	0	0	0	0	0
Blvrb	10.263158	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yap1	10.210526	0	0	0	0	0	0	0	0	0	82	0	0	0	112	0	0	0	0	0	0
Tmem123	10.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	100	0	0
Spa17	10.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0
Siglec1	10.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0
Siae	10.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0
Mink1	10.210526	0	0	0	0	108	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0
Krtap4-2	10.210526	0	0	0	0	105	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0
Gabarapl1	10.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	87	0
Pheta2	10.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0
Mecr	10.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0
Ggta1	10.157895	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp1a1	10.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0
Pgd	10.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0
Pabpc1l2b	10.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0
P2rx1	10.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0
Mgat3	10.105263	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kdm6b	10.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0
Cdv3	10.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	120	0
Cdkn3	10.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0
Pacc1	10.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0
Olfr915	10.052632	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akr1b3	10.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	74	0
Vegfc	10.000000	0	0	0	0	94	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0
Tuba1c	10.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0
Serpine1	10.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0
Rc3h1	10.000000	0	0	0	0	68	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0
Mxra7	10.000000	0	0	0	0	92	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mccc1	10.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0
Ltb4r2	10.000000	0	0	0	0	106	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0
Ltb4r1	10.000000	0	0	0	0	106	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0
Dlgap2	10.000000	0	0	0	0	0	0	0	0	0	92	98	0	0	0	0	0	0	0	0	0
Cideb	10.000000	0	0	0	0	106	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0
Trappc2l	9.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0
Tmem18	9.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0
Tmem131	9.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	84	0	0
Rgs2	9.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0
Prrc1	9.947368	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glrx3	9.947368	0	0	0	0	0	0	0	0	0	95	0	0	0	0	94	0	0	0	0	0
Galns	9.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0
Csgalnact1	9.947368	0	0	0	0	0	0	86	0	0	103	0	0	0	0	0	0	0	0	0	0
Ube2cbp	9.894737	0	0	0	0	0	0	0	0	0	0	0	88	0	100	0	0	0	0	0	0
Sptbn1	9.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0
Smim13	9.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0
Sh3pxd2b	9.894737	0	0	0	0	102	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0
Rab8b	9.894737	0	0	101	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0
Ptp4a2	9.894737	0	0	0	0	0	0	0	0	0	95	0	93	0	0	0	0	0	0	0	0
Hmgb2	9.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	110	0
Fmnl1	9.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0
Dop1a	9.894737	0	0	0	0	0	0	0	0	0	0	0	88	0	100	0	0	0	0	0	0
Degs1	9.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0
Bhlha9	9.894737	0	0	0	77	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zmat1	9.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	101	0
Zbtb44	9.842105	0	0	0	111	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plcl1	9.842105	0	0	0	0	0	0	95	0	0	0	0	0	0	92	0	0	0	0	0	0
Pja1	9.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0
Hhipl1	9.842105	0	0	0	0	0	0	0	0	0	0	0	90	0	97	0	0	0	0	0	0
Gpr75	9.842105	0	0	0	0	0	0	74	0	0	113	0	0	0	0	0	0	0	0	0	0
Birc5	9.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0
Arhgap35	9.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0
Zfp963	9.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0
Stag3	9.789474	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rspo1	9.789474	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbm46	9.789474	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0
Prelp	9.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	108	0
Pcnx	9.789474	0	0	0	0	80	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nradd	9.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0
Nfe2	9.789474	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc6	9.789474	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0
Kcna5	9.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	70	0
Il1r2	9.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0
Gpc2	9.789474	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dab1	9.789474	0	0	0	0	0	0	0	0	0	93	0	93	0	0	0	0	0	0	0	0
Angpt1	9.789474	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vezt	9.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0
Terf1	9.736842	0	0	0	0	0	0	0	0	0	0	0	90	0	0	95	0	0	0	0	0
Tada1	9.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0
Snrpa1	9.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0
Nme6	9.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0
Mmp23	9.736842	0	0	0	0	0	0	0	0	0	92	93	0	0	0	0	0	0	0	0	0
Mical1	9.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0
Ltbp4	9.736842	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fgd6	9.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0
Far1	9.736842	0	0	0	0	0	0	0	0	0	95	0	0	0	0	90	0	0	0	0	0
Ripk2	9.684211	0	0	0	0	88	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0
Ptprn	9.684211	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0
Naprt	9.684211	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H4c17	9.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0
