Target_genes	Mafk|Average	SRX140361|CH12	SRX16499736|ES_cells	SRX16499737|ES_cells	SRX188829|ES_cells	SRX140362|MEL	SRX188826|MEL	SRX3937205|NIH/3T3	SRX3937206|NIH/3T3	SRX3937207|NIH/3T3	SRX3937208|NIH/3T3	SRX3937210|RAW_264.7	SRX3937211|RAW_264.7	SRX3937212|RAW_264.7	SRX3730249|Trophoblast_stem_cells	SRX3730250|Trophoblast_stem_cells	SRX3730280|Trophoblast_stem_cells	STRING
Tagln3	9.812500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0
Rps24	9.812500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0
Psmb8	9.812500	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polr3a	9.812500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0
Pip4k2b	9.812500	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paip2b	9.812500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0
Nsmce4a	9.812500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0
Mettl7b	9.812500	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0
Man1a2	9.812500	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0
Iqgap2	9.812500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0
Hadhb	9.812500	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0
Hadha	9.812500	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0
Gstt3	9.812500	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ech1	9.812500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0
Ctnnal1	9.812500	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0
Aim2	9.812500	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adgre4	9.812500	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0
Wdtc1	9.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0
Ubxn7	9.750000	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0
Trip12	9.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0
St6galnac1	9.750000	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0
Spz1	9.750000	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc22a8	9.750000	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0
Siglec15	9.750000	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0
Podxl	9.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0
Pdc	9.750000	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0
Ogfod1	9.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0
Nudt21	9.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0
Myrf	9.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0
Myo6	9.750000	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0
Kcnq1	9.750000	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0
Gtpbp10	9.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0
Foxi1	9.750000	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0
Fgf2	9.750000	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo36	9.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0
Entpd6	9.750000	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0
Cpne9	9.750000	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0
Cd63	9.750000	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0
C3	9.750000	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0
C1s2	9.750000	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0
Adra1b	9.750000	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zmat3	9.687500	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb14	9.687500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0
Them7	9.687500	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0
Synj2	9.687500	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ssr1	9.687500	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	95	0
Rbm27	9.687500	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0
Psg19	9.687500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0
Ppm1a	9.687500	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0
Poglut2	9.687500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0
Plekhb2	9.687500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0
Mmp27	9.687500	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0
Hal	9.687500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0
Gtf3c2	9.687500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0
Gm36718	9.687500	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Efcc1	9.687500	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0
Cfd	9.687500	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0
Bivm	9.687500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0
Apobec3	9.687500	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amot	9.687500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0
Aatk	9.687500	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2610318N02Rik	9.687500	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zxdc	9.625000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0
Zfp775	9.625000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0
Zfp128	9.625000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0
Vps39	9.625000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0
Tmem59	9.625000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0
Thop1	9.625000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0
Tdrd1	9.625000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0
Tceanc2	9.625000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0
Serpina3b	9.625000	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0
Scaf8	9.625000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0
Mkrn2	9.625000	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0
Ltbp1	9.625000	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klf16	9.625000	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0
Il9r	9.625000	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0
Icam2	9.625000	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0
E130308A19Rik	9.625000	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0
Dyrk1b	9.625000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0
Col4a2	9.625000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0
Col4a1	9.625000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0
Ccl6	9.625000	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc186	9.625000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0
Carns1	9.625000	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0
Carnmt1	9.625000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0
Camta1	9.625000	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0
Atp8a1	9.625000	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Appl1	9.625000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0
Abcg4	9.625000	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0
1700012B09Rik	9.625000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0
Uqcrc2	9.562500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0
Uggt1	9.562500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0
Ubtd1	9.562500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0
Ttc27	9.562500	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0
Tnfaip8l2	9.562500	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0
Syncrip	9.562500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0
Stub1	9.562500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0
Strap	9.562500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0
Stmn1	9.562500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0
Shank1	9.562500	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0
Scap	9.562500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0
Rhof	9.562500	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhbdl1	9.562500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0
Rgmb	9.562500	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0
Pole2	9.562500	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0
Pde3b	9.562500	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr66	9.562500	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0
Nudt2	9.562500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0
Nin	9.562500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0
Mthfd1	9.562500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0
Mpp2	9.562500	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0
Mms19	9.562500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0
Kif24	9.562500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0
Jmjd8	9.562500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0
Igip	9.562500	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fblim1	9.562500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0
Cdh24	9.562500	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0
Atp2c1	9.562500	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0
Adgra1	9.562500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0
2810021J22Rik	9.562500	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trpv3	9.500000	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0
Tbl1xr1	9.500000	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0
Ssb	9.500000	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0
Sfxn5	9.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0
Serinc1	9.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0
Prorp	9.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0
Pram1	9.500000	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0
Pla2g1b	9.500000	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0
Pcbp3	9.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0
Pard6a	9.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0
Otub1	9.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0
Nudt8	9.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0
Nuak1	9.500000	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nabp1	9.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0
Msantd2	9.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0
Mavs	9.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0
Klhl8	9.500000	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hlf	9.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0
H2ac4	9.500000	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0
Ftdc2	9.500000	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0
Fbxw10	9.500000	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam122a	9.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0
Faim	9.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0
Exosc2	9.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0
Evi5l	9.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0
Dok4	9.500000	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doc2g	9.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0
C1d	9.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0
Acd	9.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0
Traf6	9.437500	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0
Sprr1a	9.437500	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0
Scimp	9.437500	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rc3h1	9.437500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0
Pros1	9.437500	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0
Olfr19	9.437500	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mgat4a	9.437500	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mettl16	9.437500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0
Esr2	9.437500	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0
Cbll1	9.437500	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srek1	9.375000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0
Spata2	9.375000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0
Shprh	9.375000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0
Setmar	9.375000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0
Rps6kc1	9.375000	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0
Rnpepl1	9.375000	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf187	9.375000	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0
Rnf123	9.375000	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf114	9.375000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0
Postn	9.375000	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mst1	9.375000	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mapkap1	9.375000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0
Eri1	9.375000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0
Ecm1	9.375000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0
Dusp28	9.375000	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdk8	9.375000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0
Cd80	9.375000	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Btg1	9.375000	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apol8	9.375000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0
Ankmy1	9.375000	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vhl	9.312500	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0
Tlr3	9.312500	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Teddm1a	9.312500	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc27a3	9.312500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0
Sh3bp1	9.312500	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sh2d1a	9.312500	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps12	9.312500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0
Pwp2	9.312500	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0
Phf21a	9.312500	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0
Pcnx	9.312500	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pate4	9.312500	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pard6b	9.312500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0
Olfr3	9.312500	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nudt17	9.312500	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0
Msh4	9.312500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0
Morf4l2	9.312500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0
Mctp1	9.312500	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marcksl1	9.312500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0
Lratd2	9.312500	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kera	9.312500	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grpel1	9.312500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0
Gata3	9.312500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0
Fam171a1	9.312500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0
Fabp9	9.312500	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cstad	9.312500	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cpne2	9.312500	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cltb	9.312500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0
Cldn34b2	9.312500	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd9	9.312500	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc81	9.312500	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp934	9.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0
Zfp691	9.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0
Zfp639	9.250000	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wipf3	9.250000	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr92	9.250000	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0
Ugdh	9.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0
Rpl21	9.250000	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	61	0
Ptar1	9.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0
Pno1	9.250000	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0
Pnma1	9.250000	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0
Phf8	9.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0
Pdia3	9.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0
Pcmtd1	9.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0
Pak2	9.250000	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0
Mgrn1	9.250000	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0
Med21	9.250000	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	81	0
Ltbr	9.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0
Lgals3	9.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0
Lcmt1	9.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0
Gatd3a	9.250000	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0
Ercc6	9.250000	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ehbp1l1	9.250000	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0
Cbx4	9.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0
Catsper2	9.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0
Casp14	9.250000	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0
Baiap2	9.250000	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0
Alkbh6	9.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0
Abtb1	9.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0
2310057M21Rik	9.250000	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp747	9.187500	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0
Trip6	9.187500	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0
Tnfrsf13c	9.187500	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srgap1	9.187500	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0
Sprtn	9.187500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0
Slc12a3	9.187500	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0
Ska2	9.187500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0
Rnf186	9.187500	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0
Prr11	9.187500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0
Ncdn	9.187500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0
Mr1	9.187500	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ipo9	9.187500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0
Hoxb8	9.187500	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glt8d2	9.187500	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0
Fxyd2	9.187500	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0
Foxk1	9.187500	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo47	9.187500	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exosc9	9.187500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0
Exoc8	9.187500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0
Eif6	9.187500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0
Dnajc10	9.187500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0
Ddx21	9.187500	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0
Cyp4f18	9.187500	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AU040320	9.187500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0
Zdhhc20	9.125000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0
Uqcc1	9.125000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0
Trpv2	9.125000	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tagap	9.125000	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sun1	9.125000	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0
Speg	9.125000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0
Sox9	9.125000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0
Slc3a1	9.125000	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc25a11	9.125000	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf24	9.125000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0
Rnf167	9.125000	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phrf1	9.125000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0
Nxf7	9.125000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0
Myo5a	9.125000	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-Eb1	9.125000	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gimap7	9.125000	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam177a2	9.125000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0
Fam177a	9.125000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0
Cop1	9.125000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0
Ankrd42	9.125000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0
Acot1	9.125000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0
Zfp97	9.062500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0
Zfp595	9.062500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0
Xlr5c	9.062500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0
Vrk2	9.062500	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0
Uqcr11	9.062500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0
Ttbk1	9.062500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0
Trnt1	9.062500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0
Tamm41	9.062500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0
Taf4b	9.062500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0
Slc7a5	9.062500	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0
Samd10	9.062500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0
Rerg	9.062500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0
Pth2	9.062500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0
Prpf6	9.062500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0
Pcdhac2	9.062500	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0
Olfr934	9.062500	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0
Olfr433	9.062500	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr284	9.062500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0
Nsun6	9.062500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0
Nkx2-4	9.062500	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mapk9	9.062500	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0
Lonp2	9.062500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0
