Target_genes	Arnt|Average	SRX6386420|4T1	SRX6386421|4T1	SRX6386422|4T1	SRX6386423|4T1	SRX8844237|EpiSC	SRX8844238|EpiSC	SRX8844239|EpiSC	SRX8844240|EpiSC	SRX6386412|ES_cells	SRX6386413|ES_cells	SRX6386414|ES_cells	SRX6386415|ES_cells	SRX6386416|ES_cells	SRX6386417|ES_cells	SRX6386418|ES_cells	SRX6386419|ES_cells	STRING
Sars	11.687500	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reep2	11.687500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0
Fyttd1	11.687500	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arid3a	11.687500	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apbb1ip	11.687500	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yrdc	11.625000	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vgf	11.625000	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab29	11.625000	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eps8	11.625000	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110065P20Rik	11.625000	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uqcc2	11.562500	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M6pr	11.562500	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Figla	11.562500	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctr9	11.562500	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr63	11.500000	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Upk3a	11.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0
Ubash3b	11.500000	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Msh6	11.500000	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lsm14a	11.500000	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flt3l	11.500000	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cp	11.500000	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aif1l	11.500000	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schip1	11.437500	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100a2	11.437500	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prdm1	11.437500	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Necap1	11.437500	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13286	11.437500	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13283	11.437500	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13271	11.437500	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chst11	11.437500	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ssh2	11.375000	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gfpt1	11.375000	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ercc6l2	11.375000	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3galnt2	11.375000	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ahcyl2	11.375000	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tial1	11.312500	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rev3l	11.312500	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3c11	11.312500	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2bc22	11.312500	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2ac22	11.312500	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unk	11.250000	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stil	11.250000	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rasa4	11.250000	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdlim7	11.250000	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1s2	11.250000	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tssc4	11.187500	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0
Timm8a1	11.187500	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rrm1	11.187500	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nrep	11.187500	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-T-ps	11.187500	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6710	11.187500	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14391	11.187500	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14326	11.187500	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Edrf1	11.187500	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp8b1	11.187500	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zmiz1	11.125000	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unkl	11.125000	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfam	11.125000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0
Slc6a6	11.125000	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rad50	11.125000	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Percc1	11.125000	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ncoa7	11.125000	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Limk1	11.125000	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hspa8	11.125000	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BC003965	11.125000	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scn8a	11.062500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	116	0
Prr5l	11.062500	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nr3c1	11.062500	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fitm2	11.062500	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Commd9	11.062500	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8030462N17Rik	11.062500	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sgo2a	11.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0
Pld1	11.000000	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Osbpl9	11.000000	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Orc5	11.000000	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hmgb1	11.000000	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tpp2	10.937500	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Poldip3	10.937500	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcnx4	10.937500	0	68	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0
Oas3	10.937500	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myod1	10.937500	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cct5	10.937500	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atpsckmt	10.937500	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sertad4	10.875000	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rictor	10.875000	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asb2	10.875000	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arid3b	10.875000	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anapc7	10.875000	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem209	10.812500	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ssmem1	10.812500	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pde6d	10.812500	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khdrbs1	10.812500	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2bc14	10.812500	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cops7b	10.812500	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Col5a1	10.812500	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pih1d1	10.750000	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Msh3	10.750000	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dhfr	10.750000	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asns	10.750000	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aldh16a1	10.750000	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ugdh	10.687500	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srr	10.687500	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smg6	10.687500	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oscp1	10.687500	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mturn	10.687500	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hspb2	10.687500	92	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cryab	10.687500	92	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arsb	10.687500	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp931	10.625000	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vkorc1	10.625000	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube2a	10.625000	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tspan33	10.625000	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmsb15a	10.625000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0
Timm21	10.625000	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc6a21	10.625000	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prss53	10.625000	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prrc1	10.625000	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppa1	10.625000	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mgat4f	10.625000	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0
Hnrnpa2b1	10.625000	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14305	10.625000	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo15	10.625000	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp11a1	10.625000	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccl20	10.625000	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cbx7	10.625000	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cbx3	10.625000	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alg13	10.625000	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810013L24Rik	10.625000	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem175	10.562500	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r14b	10.562500	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plcb3	10.562500	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr9	10.562500	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mettl1	10.562500	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Meig1	10.562500	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gak	10.562500	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fkbp2	10.562500	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eef1akmt3	10.562500	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dclre1c	10.562500	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Selenbp2	10.500000	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ranbp3	10.500000	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lmnb2	10.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0
Dis3l	10.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0
Cand1	10.500000	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arsa	10.500000	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ahcyl1	10.500000	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sorbs2	10.437500	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prss32	10.437500	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N4bp3	10.437500	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpr158	10.437500	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atxn2	10.437500	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mcm7	10.375000	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gtf3a	10.375000	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gata6	10.375000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	95	0
Fbxw11	10.375000	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ap4m1	10.375000	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppcdc	10.312500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0
Galm	10.312500	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eya2	10.312500	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmtn	10.312500	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cx3cl1	10.312500	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anxa11	10.312500	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd46	10.312500	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp1	10.250000	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr27	10.250000	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Septin2	10.250000	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl36	10.250000	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rp9	10.250000	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nxn	10.250000	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micos13	10.250000	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il24	10.250000	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exosc8	10.250000	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cracdl	10.250000	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bco1	10.250000	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alg5	10.250000	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acvr2a	10.250000	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600012H06Rik	10.250000	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp217	10.187500	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr82	10.187500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0
Uck2	10.187500	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ssbp4	10.187500	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spring1	10.187500	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sdc4	10.187500	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnft2	10.187500	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptgs1	10.187500	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r27	10.187500	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plppr3	10.187500	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Npm2	10.187500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0
Krtap2-4	10.187500	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11937	10.187500	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310011J03Rik	10.187500	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ndst1	10.125000	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl17	10.125000	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erg	10.125000	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xirp1	10.062500	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srpk1	10.062500	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shroom1	10.062500	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plau	10.062500	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ifi35	10.062500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0
Hdac5	10.062500	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5591	10.062500	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0
Faap20	10.062500	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eps15l1	10.062500	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cat	10.062500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0
Arrdc2	10.062500	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ap3m1	10.062500	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srgn	10.000000	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sertad2	10.000000	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf113a1	10.000000	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdhb	10.000000	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Patl1	10.000000	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ndufa1	10.000000	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mier3	10.000000	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gprin1	10.000000	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Galnt1	10.000000	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctsd	10.000000	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cstf1	10.000000	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aurka	10.000000	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zswim5	9.937500	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0
Znhit6	9.937500	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zcwpw1	9.937500	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tbc1d24	9.937500	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc35f5	9.937500	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Qprt	9.937500	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r15a	9.937500	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plekha4	9.937500	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ntn3	9.937500	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mepce	9.937500	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmc8	9.875000	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmc6	9.875000	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tln1	9.875000	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc2a9	9.875000	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prkca	9.875000	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nxf1	9.875000	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Miga1	9.875000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0
Creb3	9.875000	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thap12	9.812500	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhou	9.812500	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mief2	9.812500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0
Lpp	9.812500	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gorasp2	9.812500	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flii	9.812500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0
Ctcf	9.812500	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tubg1	9.750000	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Retreg3	9.750000	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pten	9.750000	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itgav	9.750000	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atxn7	9.750000	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acvr1b	9.750000	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2c	9.687500	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tec	9.687500	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sos1	9.687500	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sike1	9.687500	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prpf38a	9.687500	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proc	9.687500	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Orc1	9.687500	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mmachc	9.687500	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erlin1	9.687500	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dstyk	9.687500	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cops2	9.687500	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cep97	9.687500	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc163	9.687500	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arntl	9.687500	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2610528A11Rik	9.687500	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rtn4	9.625000	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rreb1	9.625000	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hspb8	9.625000	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gtf2h4	9.625000	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tdrd7	9.562500	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tab3	9.562500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0
Slc2a4	9.562500	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl22	9.562500	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nfkbil1	9.562500	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Manbal	9.562500	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Drg2	9.562500	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddx39b	9.562500	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp6v1g2	9.562500	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011L22Rik	9.562500	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Synj2	9.500000	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhdc4	9.500000	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ift172	9.500000	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fndc4	9.500000	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esr1	9.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0
Spcs3	9.437500	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sik3	9.437500	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scap	9.437500	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paip2	9.437500	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pafah1b2	9.437500	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Midn	9.437500	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iars2	9.437500	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Heatr3	9.437500	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H13	9.437500	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C130073F10Rik	9.437500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0
Bpnt1	9.437500	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930432M17Rik	9.437500	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp94	9.375000	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp317	9.375000	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r85	9.375000	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rrn3	9.375000	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rasa1	9.375000	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pnpla5	9.375000	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nfia	9.375000	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Msl2	9.375000	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mfsd1	9.375000	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Disp2	9.375000	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc107	9.375000	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
